A,B,Support_AB,Support_A,Support_B,Lift
BELONG,ST004D01T,64,76,64,1.0131578947368423
BELONG,PV1READ,64,76,65,0.9975708502024292
BELONG,EMOSUPS,62,76,63,0.9970760233918129
PV1READ,ST004D01T,56,65,64,1.0365384615384614
EMOSUPS,PV1READ,54,63,65,1.0153846153846156
EMOSUPS,ST004D01T,51,63,64,0.9739583333333333
BELONG,PERCOMP,50,76,51,0.9932920536635707
BELONG,ST207Q02HA,49,76,49,1.013157894736842
BELONG,ST207Q03HA,46,76,47,0.9916013437849945
EMOSUPS,ST207Q02HA,44,63,49,1.0975056689342402
EMOSUPS,PERCOMP,44,63,51,1.0544662309368191
BELONG,ST206Q01HA,43,76,43,1.013157894736842
PERCOMP,PV1READ,43,51,65,0.9987933634992457
PV1READ,ST207Q03HA,41,65,47,1.0333878887070376
PV1READ,ST207Q02HA,41,65,49,0.9912087912087911
ST004D01T,ST207Q03HA,40,64,47,1.0239361702127658
PERCOMP,ST004D01T,40,51,64,0.943627450980392
ST004D01T,ST207Q02HA,39,64,49,0.9575892857142856
BELONG,ST207Q04HA,38,76,38,1.013157894736842
EMOSUPS,ST207Q03HA,38,63,47,0.9881796690307328
EMOSUPS,ST206Q01HA,37,63,43,1.0516795865633075
PV1READ,ST206Q01HA,36,65,43,0.9917710196779965
BELONG,DISCLIMA,35,76,36,0.985014619883041
BELONG,ST207Q01HA,34,76,35,0.9842105263157895
ST004D01T,ST206Q01HA,34,64,43,0.9513081395348837
PERCOMP,ST207Q02HA,33,51,49,1.0168067226890756
PERCOMP,ST207Q03HA,32,51,47,1.0279516061743847
PV1READ,ST207Q04HA,32,65,38,0.9975708502024292
BELONG,PERCOOP,32,76,33,0.9824561403508772
ST207Q02HA,ST207Q03HA,31,49,47,1.0364741641337387
DISCLIMA,ST004D01T,31,36,64,1.0360243055555556
EMOSUPS,ST207Q04HA,31,63,38,0.9970760233918129
BELONG,ST207Q05HA,30,76,30,1.013157894736842
ST004D01T,ST207Q01HA,29,64,35,0.9968750000000001
DISCLIMA,PV1READ,29,36,65,0.9542735042735044
ST004D01T,ST207Q04HA,29,64,38,0.9181743421052632
EMOSUPS,PERCOOP,28,63,33,1.037037037037037
ST206Q01HA,ST207Q02HA,28,43,49,1.0232558139534884
