A,B,C,Support_ABC,Support_A,Support_B,Support_C,Lift3
BELONG,PV1READ,ST004D01T,56,76,65,64,1.0501771255060728
BELONG,EMOSUPS,PV1READ,53,76,63,65,1.009694107062528
BELONG,EMOSUPS,ST004D01T,51,76,63,64,0.9867735745614035
EMOSUPS,PV1READ,ST004D01T,45,63,65,64,1.018028846153846
BELONG,EMOSUPS,ST207Q02HA,44,76,63,49,1.1119465329991647
BELONG,EMOSUPS,PERCOMP,43,76,63,51,1.0440603141841531
BELONG,PERCOMP,PV1READ,42,76,51,65,0.9884020004763039
BELONG,PV1READ,ST207Q02HA,41,76,65,49,1.0042510121457489
BELONG,ST004D01T,ST207Q03HA,40,76,64,47,1.0374090145576707
BELONG,PV1READ,ST207Q03HA,40,76,65,47,1.021448875872168
BELONG,PERCOMP,ST004D01T,40,76,51,64,0.9560436016511867
EMOSUPS,PERCOMP,PV1READ,39,63,51,65,1.10718954248366
BELONG,ST004D01T,ST207Q02HA,39,76,64,49,0.970189144736842
EMOSUPS,PV1READ,ST207Q02HA,37,63,65,49,1.0932844932844934
BELONG,EMOSUPS,ST206Q01HA,37,76,63,43,1.065517475860193
BELONG,EMOSUPS,ST207Q03HA,37,76,63,47,0.9748351374891129
PV1READ,ST004D01T,ST207Q03HA,36,65,64,47,1.0916734860883797
BELONG,PV1READ,ST206Q01HA,36,76,65,43,1.00482063835797
EMOSUPS,PV1READ,ST207Q03HA,35,63,65,47,1.0781960356428442
PERCOMP,PV1READ,ST004D01T,35,51,65,64,0.9781061463046756
EMOSUPS,ST004D01T,ST207Q02HA,34,63,64,49,1.0203373015873014
PV1READ,ST004D01T,ST207Q02HA,34,65,64,49,0.9889423076923076
EMOSUPS,PERCOMP,ST004D01T,34,63,51,64,0.9803240740740738
BELONG,ST004D01T,ST206Q01HA,34,76,64,43,0.9638253518971849
BELONG,PERCOMP,ST207Q02HA,33,76,51,49,1.0301857585139318
EMOSUPS,PV1READ,ST206Q01HA,32,63,65,43,1.0774796263168358
BELONG,PV1READ,ST207Q04HA,32,76,65,38,1.0106967824419348
EMOSUPS,ST004D01T,ST207Q03HA,32,63,64,47,1.0011820330969268
BELONG,ST207Q02HA,ST207Q03HA,31,76,49,47,1.0501119820828668
BELONG,DISCLIMA,ST004D01T,31,76,36,64,1.0496562043128657
BELONG,EMOSUPS,ST207Q04HA,31,76,63,38,1.0101954447522314
BELONG,PERCOMP,ST207Q03HA,31,76,51,47,1.0089311200404014
EMOSUPS,PERCOMP,ST207Q02HA,30,63,51,49,1.1297852474323062
PV1READ,ST004D01T,ST206Q01HA,30,65,64,43,0.9943537567084079
BELONG,ST004D01T,ST207Q01HA,29,76,64,35,1.0099917763157895
EMOSUPS,ST004D01T,ST206Q01HA,29,63,64,43,0.9917231912144703
BELONG,ST004D01T,ST207Q04HA,29,76,64,38,0.9302555834487536
PERCOMP,PV1READ,ST207Q03HA,28,51,65,47,1.065511376399987
