Predictor,Countries_with_Rank1,Countries_in_Top10,Avg_Rank,Median_Rank,Mean_Importance,Category
BELONG,60.0,75,1.3866666666666667,1.0,0.07064620969333334,Microsystem
ST004D01T,6.0,57,4.56140350877193,3.0,0.041060284333333336,Individual
PERCOMP,2.0,64,4.703125,4.5,0.039667177296875,Microsystem
PERCOOP,2.0,46,5.978260869565218,5.5,0.04028828306521739,Microsystem
ST206Q01HA,2.0,38,6.2105263157894735,6.0,0.03478261657894737,Microsystem
ST207Q01HA,1.0,62,5.209677419354839,5.0,0.03484572501612903,Microsystem
EMOSUPS,1.0,58,5.517241379310345,5.0,0.03592760737931035,Microsystem
ST207Q02HA,1.0,58,5.706896551724138,6.0,0.03386974522413793,Microsystem
ST207Q05HA,1.0,42,5.833333333333333,5.0,0.03492021583333333,Microsystem
ST207Q03HA,1.0,38,6.447368421052632,7.0,0.032144151236842104,Microsystem
DISCLIMA,,46,5.673913043478261,5.0,0.031674486804347826,Microsystem
GFOFAIL,,43,7.023255813953488,8.0,0.02903953774418605,Individual
ST207Q04HA,,37,7.5675675675675675,8.0,0.029625440675675675,Microsystem
SWBP,,21,6.666666666666667,7.0,0.028922374,Microsystem
PV1READ,,11,7.2727272727272725,8.0,0.030887290636363637,Individual
ST185Q01HA,,7,5.285714285714286,4.0,0.03236455142857143,Uncategorized
SCREADDIFF,,7,7.714285714285714,8.0,0.027645547857142856,Individual
COMPETE,,6,7.166666666666667,7.5,0.02827452583333333,Individual
GRADE,,5,5.0,5.0,0.0322792156,Individual
ST184Q01HA,,5,7.4,8.0,0.028117985800000002,Uncategorized
JOYREAD,,4,6.0,5.5,0.028552166,Individual
ATTLNACT,,4,6.25,6.0,0.03088586025,Microsystem
REPEAT,,4,6.5,7.0,0.029792933,Proximal
METASUM,,4,8.75,9.0,0.025621734,Proximal
RESILIENCE,,4,8.75,9.0,0.02447665675,Individual
RATCMP2,,3,7.333333333333333,7.0,0.027804251000000002,Macro
MASTGOAL,,3,7.666666666666667,7.0,0.025781252,Individual
PV1MATH,,3,8.666666666666666,9.0,0.026200844333333334,Individual
PV1SCIE,,2,8.0,8.0,0.026023085,Individual
DURECEC,,2,9.5,9.5,0.0260742465,Microsystem
TEACHINT,,2,10.0,10.0,0.023382051,Microsystem
EDUSHORT,,1,4.0,4.0,0.030123508,Macro
UNDREM,,1,5.0,5.0,0.028384654,Proximal
SCREADCOMP,,1,6.0,6.0,0.028295062,Individual
WORKMAST,,1,7.0,7.0,0.02605922,Individual
BSMJ,,1,8.0,8.0,0.027049743,Individual
EUDMO,,1,8.0,8.0,0.027528688,Individual
TEACHSUP,,1,8.0,8.0,0.02775287,Microsystem
AGE,,1,9.0,9.0,0.024491781,Individual
METASPAM,,1,10.0,10.0,0.024355065,Proximal
