Community_ID,Countries
1,"['ARG', 'AUS', 'AUT', 'BGR', 'BLR', 'BRA', 'CHE', 'CHL', 'COL', 'CZE', 'DEU', 'DOM', 'ESP', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'KAZ', 'LTU', 'LVA', 'MAR', 'MEX', 'MLT', 'MYS', 'NZL', 'PAN', 'PER', 'QAZ', 'QCI', 'QRT', 'ROU', 'SAU', 'SGP', 'SRB', 'SVN', 'TUR', 'URY']"
2,"['MDA', 'UKR']"
3,"['ARE', 'IDN']"
4,['VNM']
5,"['DNK', 'LUX', 'POL', 'QMR', 'RUS', 'SWE']"
6,['PHL']
7,['FRA']
8,"['CAN', 'FIN']"
9,['KSV']
10,"['BEL', 'EST']"
11,['BRN']
12,"['BIH', 'CRI']"
13,['HKG']
14,['MAC']
15,['JPN']
16,"['GBR', 'USA']"
17,"['KOR', 'TAP']"
18,['THA']
19,['ISL']
20,['GEO']
21,['SVK']
22,['JOR']
23,['NLD']
24,['MNE']
25,['NOR']
26,['ALB']
27,['PRT']
28,['QAT']
