Country,Individual,Macro,Microsystem,Proximal,Uncategorized
ALB,4,0,6,0,0
ARE,2,0,8,0,0
ARG,1,0,9,0,0
AUS,1,0,9,0,0
AUT,0,0,10,0,0
BEL,1,1,8,0,0
BGR,1,0,9,0,0
BIH,2,0,8,0,0
BLR,1,0,9,0,0
BRA,1,0,9,0,0
BRN,2,0,8,0,0
CAN,3,0,7,0,0
CHE,0,0,10,0,0
CHL,1,0,9,0,0
COL,1,0,9,0,0
CRI,1,0,9,0,0
CZE,2,0,8,0,0
DEU,0,0,10,0,0
DNK,1,0,9,0,0
DOM,0,0,10,0,0
ESP,2,0,8,0,0
EST,3,0,7,0,0
FIN,2,0,7,0,1
FRA,1,0,8,0,1
GBR,2,0,7,0,1
GEO,2,0,7,0,1
GRC,2,0,8,0,0
HKG,3,0,5,1,1
HRV,2,0,8,0,0
HUN,3,0,7,0,0
IDN,3,0,6,0,1
IRL,2,0,8,0,0
ISL,1,0,8,0,1
ITA,1,0,8,1,0
JOR,4,0,6,0,0
JPN,5,0,4,1,0
KAZ,2,0,8,0,0
KOR,4,0,5,1,0
KSV,2,0,7,0,1
LTU,2,0,8,0,0
LUX,2,0,7,1,0
LVA,1,0,9,0,0
MAC,4,1,4,1,0
MAR,1,0,9,0,0
MDA,0,0,10,0,0
MEX,2,0,8,0,0
MLT,1,0,9,0,0
MNE,3,0,7,0,0
MYS,2,0,8,0,0
NLD,4,0,5,0,1
NOR,2,0,8,0,0
NZL,1,0,9,0,0
PAN,1,0,9,0,0
PER,1,0,9,0,0
PHL,4,0,6,0,0
POL,2,0,8,0,0
PRT,1,0,7,2,0
QAT,2,1,7,0,0
QAZ,3,0,7,0,0
QCI,1,0,9,0,0
QMR,2,0,7,1,0
QRT,3,0,7,0,0
ROU,3,0,7,0,0
RUS,3,0,7,0,0
SAU,2,0,8,0,0
SGP,4,0,6,0,0
SRB,2,0,8,0,0
SVK,2,0,7,0,1
SVN,1,0,9,0,0
SWE,3,0,7,0,0
TAP,3,0,7,0,0
THA,3,0,7,0,0
TUR,2,0,8,0,0
UKR,1,0,8,0,1
URY,0,0,10,0,0
USA,3,0,6,0,1
VNM,2,1,6,1,0
