A,B,Support_AB,Support_A,Support_B,Lift
BELONG,ST207Q01HA,62,75,62,1.0266666666666668
BELONG,PERCOMP,62,75,64,0.9945833333333334
BELONG,EMOSUPS,56,75,58,0.9912643678160918
BELONG,ST207Q02HA,56,75,58,0.9912643678160918
BELONG,ST004D01T,55,75,57,0.9906432748538012
EMOSUPS,PERCOMP,51,58,64,1.0579202586206895
PERCOMP,ST207Q01HA,51,64,62,0.9896673387096773
PERCOMP,ST207Q02HA,48,64,58,0.9956896551724136
ST004D01T,ST207Q01HA,47,57,62,1.0240520656479908
ST207Q01HA,ST207Q02HA,47,62,58,1.0063959955506117
BELONG,DISCLIMA,46,75,46,1.0266666666666666
EMOSUPS,ST207Q01HA,46,58,62,0.9849833147942157
PERCOMP,ST004D01T,45,64,57,0.9498355263157894
EMOSUPS,ST207Q02HA,44,58,58,1.0071343638525565
BELONG,PERCOOP,44,75,46,0.9820289855072464
BELONG,GFOFAIL,43,75,43,1.0266666666666666
EMOSUPS,ST004D01T,41,58,57,0.954930429522081
BELONG,ST207Q05HA,40,75,42,0.9777777777777777
ST004D01T,ST207Q02HA,40,57,58,0.9316394434361766
PERCOMP,PERCOOP,39,64,46,1.0200407608695652
EMOSUPS,PERCOOP,38,58,46,1.0967016491754122
PERCOOP,ST207Q02HA,37,46,58,1.0678410794602697
BELONG,ST206Q01HA,37,75,38,0.9996491228070176
PERCOOP,ST207Q01HA,37,46,62,0.9989481065918653
BELONG,ST207Q04HA,36,75,37,0.9989189189189189
BELONG,ST207Q03HA,36,75,38,0.9726315789473684
DISCLIMA,ST004D01T,35,46,57,1.0278413424866515
PERCOMP,ST207Q05HA,35,64,42,1.0026041666666665
DISCLIMA,ST207Q01HA,35,46,62,0.9449509116409536
DISCLIMA,PERCOMP,35,46,64,0.9154211956521738
PERCOMP,ST207Q03HA,34,64,38,1.0764802631578947
ST207Q01HA,ST207Q05HA,34,62,42,1.0053763440860215
GFOFAIL,ST207Q01HA,34,43,62,0.9819954988747186
ST207Q01HA,ST207Q03HA,33,62,38,1.078522920203735
GFOFAIL,PERCOMP,33,43,64,0.9233284883720929
EMOSUPS,ST206Q01HA,32,58,38,1.117967332123412
ST206Q01HA,ST207Q01HA,32,38,62,1.0458404074702887
PERCOMP,ST206Q01HA,32,64,38,1.0131578947368423
