A,B,C,Support_ABC,Support_A,Support_B,Support_C,Lift3
BELONG,PERCOMP,ST207Q01HA,51,75,64,62,1.0160584677419353
BELONG,EMOSUPS,PERCOMP,49,75,58,64,1.0435380747126435
BELONG,ST004D01T,ST207Q01HA,47,75,57,62,1.0513601207319374
BELONG,ST207Q01HA,ST207Q02HA,47,75,62,58,1.033233222098628
BELONG,EMOSUPS,ST207Q01HA,46,75,58,62,1.0112495365220615
BELONG,PERCOMP,ST207Q02HA,46,75,64,58,0.979647988505747
BELONG,PERCOMP,ST004D01T,43,75,64,57,0.9318238304093567
BELONG,EMOSUPS,ST207Q02HA,42,75,58,58,0.9869916765755051
EMOSUPS,PERCOMP,ST207Q01HA,40,58,64,62,1.030485261401557
PERCOMP,ST207Q01HA,ST207Q02HA,39,64,62,58,1.004723129866518
BELONG,EMOSUPS,ST004D01T,39,75,58,57,0.9325710828796125
EMOSUPS,PERCOMP,ST207Q02HA,38,58,64,58,1.0464755499405467
BELONG,ST004D01T,ST207Q02HA,38,75,57,58,0.9086590038314176
BELONG,PERCOOP,ST207Q01HA,37,75,46,62,1.0255867227676483
BELONG,PERCOMP,PERCOOP,37,75,64,46,0.9935371376811595
PERCOMP,ST004D01T,ST207Q01HA,37,64,57,62,0.96992165393322
BELONG,EMOSUPS,PERCOOP,36,75,58,46,1.066686656671664
EMOSUPS,ST207Q01HA,ST207Q02HA,36,58,62,58,1.0233784664953396
BELONG,DISCLIMA,ST004D01T,35,75,46,57,1.055250444952962
BELONG,PERCOOP,ST207Q02HA,35,75,46,58,1.0370564717641177
EMOSUPS,PERCOMP,ST004D01T,35,58,64,57,0.9807688672111311
BELONG,DISCLIMA,ST207Q01HA,35,75,46,62,0.9701496026180457
BELONG,DISCLIMA,PERCOMP,35,75,46,64,0.9398324275362318
BELONG,ST207Q01HA,ST207Q05HA,34,75,62,42,1.0321863799283155
BELONG,GFOFAIL,ST207Q01HA,34,75,43,62,1.008182045511378
EMOSUPS,PERCOMP,PERCOOP,33,58,64,46,1.1458548069715142
BELONG,ST207Q01HA,ST207Q03HA,33,75,62,38,1.107283531409168
BELONG,PERCOMP,ST207Q05HA,33,75,64,42,0.9705208333333333
EMOSUPS,ST004D01T,ST207Q01HA,33,58,57,62,0.9545547684561793
ST004D01T,ST207Q01HA,ST207Q02HA,33,57,62,58,0.9545547684561791
BELONG,GFOFAIL,PERCOMP,33,75,43,64,0.9479505813953487
BELONG,ST206Q01HA,ST207Q01HA,32,75,38,62,1.0737294850028296
BELONG,PERCOMP,ST207Q03HA,32,75,64,38,1.0401754385964912
BELONG,GFOFAIL,ST004D01T,32,75,43,57,1.0321120631034952
BELONG,DISCLIMA,EMOSUPS,32,75,46,58,0.9481659170414792
BELONG,EMOSUPS,ST206Q01HA,31,75,58,38,1.111911675741077
EMOSUPS,PERCOOP,ST207Q01HA,31,58,46,62,1.1111319340329835
PERCOMP,PERCOOP,ST207Q02HA,31,64,46,58,1.0764090610944528
