,ALB,ARE,ARG,AUS,AUT,BEL,BGR,BIH,BLR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CZE,DEU,DNK,DOM,ESP,EST,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IRL,ISL,ITA,JOR,JPN,KAZ,KSV,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNE,MYS,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,QAT,QAZ,QCI,QMR,QRT,ROU,RUS,SAU,SGP,SRB,SVK,SVN,SWE,TAP,THA,TUR,UKR,URY,USA,VNM
ALB,0.0,368.0,420.0,489.0,366.0,487.0,448.0,492.0,475.0,474.0,442.0,531.0,422.0,452.0,434.0,462.0,554.0,468.0,460.0,386.0,422.0,440.0,518.0,506.0,500.0,410.0,372.0,476.0,460.0,374.0,428.0,366.0,494.0,439.0,294.0,469.0,418.0,390.0,408.0,376.0,470.0,406.0,411.0,494.0,438.0,524.0,458.0,425.0,438.0,508.0,412.0,528.0,366.0,424.0,496.0,560.0,438.0,340.0,582.0,476.0,376.0,492.0,433.0,444.0,460.0,368.0,462.0,364.0,470.0,444.0,456.0,426.0,447.0,416.0,486.0,618.0
ARE,368.0,0.0,314.0,347.0,332.0,385.0,284.0,384.0,339.0,320.0,402.0,505.0,362.0,400.0,308.0,320.0,420.0,422.0,360.0,388.0,320.0,362.0,314.0,438.0,344.0,290.0,338.0,320.0,358.0,402.0,302.0,396.0,326.0,369.0,260.0,399.0,298.0,334.0,284.0,316.0,362.0,340.0,393.0,400.0,334.0,374.0,330.0,341.0,358.0,464.0,364.0,468.0,286.0,498.0,314.0,414.0,276.0,304.0,388.0,408.0,332.0,420.0,341.0,332.0,390.0,344.0,352.0,246.0,324.0,300.0,360.0,310.0,389.0,352.0,308.0,582.0
ARG,420.0,314.0,0.0,377.0,370.0,485.0,312.0,428.0,335.0,296.0,388.0,595.0,410.0,392.0,382.0,348.0,310.0,362.0,324.0,422.0,288.0,394.0,346.0,440.0,316.0,348.0,392.0,434.0,362.0,402.0,378.0,366.0,420.0,445.0,346.0,415.0,386.0,368.0,342.0,378.0,398.0,410.0,477.0,414.0,332.0,378.0,384.0,465.0,430.0,540.0,374.0,386.0,432.0,446.0,398.0,486.0,362.0,404.0,412.0,442.0,418.0,404.0,391.0,372.0,484.0,380.0,434.0,358.0,372.0,448.0,470.0,398.0,411.0,434.0,358.0,518.0
AUS,489.0,347.0,377.0,0.0,427.0,382.0,359.0,473.0,358.0,343.0,405.0,640.0,459.0,457.0,363.0,353.0,401.0,451.0,351.0,435.0,383.0,469.0,365.0,475.0,267.0,435.0,455.0,445.0,421.0,471.0,355.0,483.0,461.0,394.0,435.0,506.0,405.0,513.0,401.0,427.0,359.0,475.0,452.0,415.0,417.0,469.0,533.0,388.0,421.0,539.0,397.0,463.0,475.0,521.0,401.0,455.0,369.0,453.0,435.0,545.0,439.0,455.0,426.0,443.0,369.0,417.0,421.0,399.0,407.0,453.0,411.0,425.0,414.0,403.0,341.0,509.0
AUT,366.0,332.0,370.0,427.0,0.0,461.0,344.0,332.0,373.0,358.0,452.0,457.0,452.0,368.0,364.0,408.0,426.0,424.0,322.0,362.0,288.0,334.0,378.0,400.0,364.0,360.0,402.0,412.0,376.0,320.0,358.0,328.0,382.0,429.0,358.0,399.0,330.0,388.0,270.0,394.0,352.0,416.0,445.0,454.0,370.0,438.0,314.0,331.0,354.0,440.0,328.0,568.0,356.0,504.0,392.0,422.0,382.0,316.0,414.0,382.0,298.0,388.0,357.0,380.0,378.0,326.0,344.0,248.0,440.0,390.0,452.0,286.0,337.0,314.0,392.0,566.0
BEL,487.0,385.0,485.0,382.0,461.0,0.0,433.0,425.0,398.0,473.0,495.0,598.0,377.0,413.0,403.0,369.0,481.0,381.0,465.0,453.0,371.0,447.0,409.0,531.0,431.0,425.0,399.0,439.0,397.0,449.0,383.0,469.0,407.0,368.0,427.0,454.0,375.0,467.0,447.0,413.0,441.0,517.0,468.0,455.0,519.0,385.0,431.0,440.0,479.0,545.0,449.0,545.0,535.0,497.0,395.0,497.0,419.0,509.0,389.0,463.0,441.0,473.0,436.0,511.0,395.0,421.0,435.0,385.0,451.0,387.0,369.0,413.0,428.0,465.0,337.0,539.0
BGR,448.0,284.0,312.0,359.0,344.0,433.0,0.0,392.0,343.0,282.0,462.0,539.0,424.0,480.0,330.0,400.0,390.0,412.0,350.0,418.0,348.0,428.0,352.0,442.0,374.0,342.0,358.0,382.0,330.0,362.0,376.0,446.0,448.0,409.0,386.0,497.0,306.0,406.0,344.0,378.0,436.0,452.0,463.0,344.0,360.0,402.0,378.0,413.0,468.0,568.0,458.0,474.0,426.0,506.0,348.0,466.0,318.0,374.0,442.0,384.0,362.0,470.0,381.0,404.0,508.0,356.0,338.0,360.0,406.0,412.0,382.0,332.0,369.0,414.0,330.0,528.0
BIH,492.0,384.0,428.0,473.0,332.0,425.0,392.0,0.0,379.0,360.0,530.0,537.0,394.0,382.0,380.0,462.0,386.0,404.0,376.0,426.0,340.0,360.0,400.0,444.0,442.0,352.0,410.0,412.0,370.0,342.0,372.0,378.0,390.0,441.0,446.0,513.0,312.0,436.0,350.0,446.0,314.0,422.0,467.0,374.0,372.0,388.0,334.0,383.0,462.0,446.0,408.0,498.0,442.0,554.0,302.0,366.0,396.0,410.0,398.0,420.0,406.0,394.0,351.0,364.0,384.0,388.0,314.0,338.0,458.0,338.0,350.0,344.0,363.0,418.0,420.0,510.0
BLR,475.0,339.0,335.0,358.0,373.0,398.0,343.0,379.0,0.0,355.0,475.0,612.0,397.0,407.0,385.0,341.0,425.0,357.0,359.0,385.0,333.0,345.0,389.0,505.0,327.0,311.0,363.0,339.0,319.0,373.0,359.0,365.0,347.0,336.0,419.0,398.0,379.0,397.0,331.0,357.0,429.0,481.0,476.0,415.0,339.0,413.0,409.0,326.0,373.0,431.0,453.0,449.0,395.0,483.0,419.0,487.0,397.0,419.0,423.0,357.0,425.0,421.0,338.0,357.0,449.0,351.0,337.0,341.0,415.0,421.0,375.0,381.0,386.0,397.0,345.0,591.0
BRA,474.0,320.0,296.0,343.0,358.0,473.0,282.0,360.0,355.0,0.0,424.0,523.0,446.0,434.0,378.0,424.0,350.0,452.0,366.0,406.0,302.0,392.0,370.0,426.0,356.0,394.0,390.0,400.0,332.0,430.0,354.0,422.0,400.0,407.0,372.0,537.0,386.0,340.0,386.0,408.0,414.0,452.0,491.0,360.0,376.0,418.0,396.0,467.0,434.0,498.0,402.0,452.0,436.0,536.0,362.0,436.0,272.0,390.0,436.0,434.0,400.0,396.0,313.0,348.0,396.0,390.0,384.0,334.0,432.0,426.0,410.0,376.0,385.0,358.0,382.0,508.0
BRN,442.0,402.0,388.0,405.0,452.0,495.0,462.0,530.0,475.0,424.0,0.0,533.0,456.0,412.0,430.0,372.0,470.0,520.0,444.0,518.0,440.0,486.0,432.0,446.0,372.0,398.0,428.0,426.0,460.0,484.0,342.0,422.0,478.0,421.0,366.0,497.0,402.0,426.0,366.0,456.0,410.0,432.0,493.0,468.0,406.0,436.0,454.0,499.0,442.0,484.0,354.0,536.0,442.0,314.0,476.0,452.0,462.0,416.0,454.0,516.0,368.0,418.0,441.0,430.0,330.0,422.0,464.0,340.0,518.0,462.0,410.0,414.0,429.0,468.0,496.0,558.0
CAN,531.0,505.0,595.0,640.0,457.0,598.0,539.0,537.0,612.0,523.0,533.0,0.0,643.0,613.0,523.0,575.0,663.0,611.0,541.0,561.0,545.0,547.0,541.0,563.0,555.0,609.0,607.0,575.0,501.0,527.0,513.0,523.0,565.0,636.0,557.0,572.0,587.0,579.0,577.0,545.0,555.0,577.0,648.0,625.0,573.0,557.0,509.0,614.0,501.0,591.0,507.0,755.0,537.0,603.0,571.0,585.0,557.0,509.0,605.0,547.0,535.0,563.0,522.0,635.0,511.0,575.0,589.0,457.0,553.0,559.0,559.0,465.0,496.0,483.0,549.0,741.0
CHE,422.0,362.0,410.0,459.0,452.0,377.0,424.0,394.0,397.0,446.0,456.0,643.0,0.0,394.0,452.0,456.0,464.0,436.0,426.0,412.0,350.0,446.0,440.0,424.0,480.0,348.0,378.0,444.0,364.0,412.0,338.0,454.0,378.0,397.0,424.0,465.0,336.0,428.0,388.0,406.0,440.0,460.0,413.0,462.0,430.0,444.0,390.0,385.0,488.0,472.0,482.0,436.0,492.0,520.0,400.0,478.0,408.0,476.0,388.0,430.0,442.0,450.0,463.0,446.0,418.0,406.0,384.0,430.0,456.0,344.0,360.0,428.0,411.0,494.0,400.0,596.0
CHL,452.0,400.0,392.0,457.0,368.0,413.0,480.0,382.0,407.0,434.0,412.0,613.0,394.0,0.0,376.0,342.0,414.0,460.0,422.0,422.0,314.0,398.0,374.0,448.0,416.0,430.0,386.0,496.0,354.0,436.0,352.0,326.0,442.0,413.0,424.0,433.0,332.0,376.0,360.0,464.0,440.0,354.0,489.0,458.0,352.0,410.0,418.0,359.0,498.0,466.0,418.0,522.0,472.0,452.0,350.0,392.0,348.0,460.0,360.0,462.0,344.0,370.0,415.0,398.0,376.0,382.0,398.0,382.0,422.0,414.0,428.0,476.0,359.0,414.0,474.0,576.0
COL,434.0,308.0,382.0,363.0,364.0,403.0,330.0,380.0,385.0,378.0,430.0,523.0,452.0,376.0,0.0,362.0,442.0,440.0,390.0,418.0,336.0,432.0,350.0,510.0,392.0,398.0,386.0,462.0,370.0,340.0,304.0,452.0,440.0,395.0,334.0,475.0,288.0,390.0,282.0,398.0,370.0,384.0,443.0,434.0,350.0,392.0,414.0,369.0,408.0,504.0,444.0,448.0,378.0,490.0,336.0,402.0,272.0,368.0,374.0,438.0,348.0,444.0,317.0,442.0,396.0,400.0,272.0,340.0,400.0,432.0,426.0,310.0,297.0,342.0,336.0,522.0
CRI,462.0,320.0,348.0,353.0,408.0,369.0,400.0,462.0,341.0,424.0,372.0,575.0,456.0,342.0,362.0,0.0,466.0,444.0,384.0,486.0,362.0,414.0,298.0,512.0,322.0,368.0,452.0,378.0,408.0,442.0,394.0,396.0,340.0,409.0,406.0,361.0,410.0,384.0,352.0,354.0,440.0,412.0,511.0,446.0,310.0,372.0,418.0,405.0,460.0,520.0,466.0,492.0,430.0,492.0,390.0,424.0,376.0,442.0,346.0,494.0,358.0,452.0,417.0,436.0,428.0,372.0,372.0,346.0,344.0,410.0,420.0,390.0,367.0,428.0,370.0,632.0
CZE,554.0,420.0,310.0,401.0,426.0,481.0,390.0,386.0,425.0,350.0,470.0,663.0,464.0,414.0,442.0,466.0,0.0,354.0,376.0,470.0,326.0,464.0,394.0,384.0,352.0,444.0,442.0,458.0,360.0,486.0,416.0,500.0,446.0,429.0,466.0,495.0,426.0,424.0,378.0,498.0,390.0,470.0,507.0,392.0,478.0,474.0,492.0,507.0,516.0,600.0,472.0,466.0,562.0,514.0,316.0,412.0,426.0,472.0,396.0,484.0,514.0,368.0,449.0,378.0,456.0,398.0,374.0,434.0,428.0,416.0,466.0,482.0,361.0,420.0,396.0,536.0
DEU,468.0,422.0,362.0,451.0,424.0,381.0,412.0,404.0,357.0,452.0,520.0,611.0,436.0,460.0,440.0,444.0,354.0,0.0,454.0,414.0,386.0,406.0,412.0,528.0,370.0,442.0,432.0,526.0,376.0,444.0,412.0,410.0,432.0,367.0,440.0,445.0,426.0,446.0,400.0,382.0,422.0,500.0,523.0,440.0,418.0,456.0,446.0,431.0,500.0,556.0,474.0,444.0,504.0,466.0,356.0,520.0,458.0,420.0,514.0,412.0,472.0,438.0,471.0,422.0,502.0,340.0,412.0,396.0,348.0,404.0,422.0,432.0,377.0,532.0,432.0,622.0
DNK,460.0,360.0,324.0,351.0,322.0,465.0,350.0,376.0,359.0,366.0,444.0,541.0,426.0,422.0,390.0,384.0,376.0,454.0,0.0,366.0,330.0,392.0,308.0,358.0,290.0,306.0,442.0,420.0,378.0,380.0,364.0,378.0,336.0,443.0,406.0,485.0,382.0,496.0,366.0,422.0,370.0,440.0,457.0,460.0,356.0,362.0,392.0,437.0,350.0,542.0,382.0,484.0,468.0,498.0,378.0,446.0,368.0,384.0,388.0,494.0,412.0,470.0,411.0,388.0,450.0,398.0,380.0,360.0,370.0,414.0,458.0,308.0,375.0,402.0,314.0,528.0
DOM,386.0,388.0,422.0,435.0,362.0,453.0,418.0,426.0,385.0,406.0,518.0,561.0,412.0,422.0,418.0,486.0,470.0,414.0,366.0,0.0,376.0,464.0,470.0,406.0,410.0,394.0,472.0,476.0,406.0,356.0,314.0,370.0,476.0,413.0,382.0,481.0,388.0,476.0,392.0,368.0,440.0,456.0,499.0,470.0,430.0,492.0,432.0,331.0,414.0,580.0,464.0,538.0,454.0,488.0,452.0,530.0,336.0,380.0,532.0,482.0,426.0,410.0,413.0,426.0,440.0,406.0,352.0,392.0,502.0,390.0,404.0,394.0,363.0,404.0,424.0,556.0
ESP,422.0,320.0,288.0,383.0,288.0,371.0,348.0,340.0,333.0,302.0,440.0,545.0,350.0,314.0,336.0,362.0,326.0,386.0,330.0,376.0,0.0,350.0,332.0,378.0,308.0,376.0,342.0,436.0,344.0,346.0,326.0,346.0,382.0,445.0,336.0,397.0,310.0,380.0,322.0,372.0,360.0,392.0,441.0,410.0,332.0,392.0,356.0,385.0,398.0,498.0,412.0,484.0,462.0,514.0,324.0,462.0,324.0,386.0,364.0,400.0,396.0,430.0,381.0,372.0,396.0,354.0,356.0,342.0,360.0,378.0,416.0,364.0,325.0,392.0,328.0,572.0
EST,440.0,362.0,394.0,469.0,334.0,447.0,428.0,360.0,345.0,392.0,486.0,547.0,446.0,398.0,432.0,414.0,464.0,406.0,392.0,464.0,350.0,0.0,416.0,486.0,384.0,362.0,376.0,414.0,338.0,346.0,402.0,332.0,412.0,393.0,438.0,373.0,360.0,384.0,328.0,390.0,430.0,418.0,457.0,430.0,358.0,440.0,450.0,343.0,420.0,448.0,368.0,536.0,398.0,508.0,410.0,542.0,434.0,324.0,484.0,406.0,312.0,376.0,397.0,344.0,484.0,346.0,354.0,312.0,414.0,406.0,468.0,350.0,379.0,374.0,408.0,566.0
FIN,518.0,314.0,346.0,365.0,378.0,409.0,352.0,400.0,389.0,370.0,432.0,541.0,440.0,374.0,350.0,298.0,394.0,412.0,308.0,470.0,332.0,416.0,0.0,418.0,296.0,330.0,422.0,420.0,406.0,468.0,386.0,390.0,320.0,423.0,434.0,445.0,350.0,388.0,384.0,396.0,436.0,446.0,475.0,440.0,366.0,344.0,392.0,445.0,464.0,524.0,384.0,476.0,446.0,508.0,292.0,394.0,362.0,414.0,302.0,542.0,412.0,492.0,393.0,442.0,400.0,408.0,420.0,366.0,272.0,398.0,438.0,390.0,411.0,466.0,352.0,572.0
FRA,506.0,438.0,440.0,475.0,400.0,531.0,442.0,444.0,505.0,426.0,446.0,563.0,424.0,448.0,510.0,512.0,384.0,528.0,358.0,406.0,378.0,486.0,418.0,0.0,394.0,432.0,472.0,430.0,442.0,410.0,440.0,418.0,424.0,483.0,520.0,505.0,414.0,494.0,448.0,508.0,440.0,490.0,493.0,472.0,470.0,458.0,444.0,485.0,452.0,564.0,402.0,572.0,512.0,564.0,422.0,328.0,428.0,468.0,408.0,538.0,480.0,428.0,435.0,492.0,430.0,488.0,380.0,456.0,468.0,368.0,466.0,426.0,433.0,382.0,426.0,544.0
GBR,500.0,344.0,316.0,267.0,364.0,431.0,374.0,442.0,327.0,356.0,372.0,555.0,480.0,416.0,392.0,322.0,352.0,370.0,290.0,410.0,308.0,384.0,296.0,394.0,0.0,386.0,434.0,404.0,368.0,470.0,344.0,362.0,394.0,401.0,436.0,463.0,414.0,478.0,368.0,384.0,398.0,468.0,473.0,430.0,376.0,390.0,474.0,417.0,374.0,538.0,384.0,552.0,470.0,504.0,370.0,442.0,408.0,418.0,416.0,454.0,452.0,438.0,413.0,410.0,408.0,374.0,386.0,360.0,346.0,408.0,430.0,422.0,419.0,420.0,298.0,578.0
GEO,410.0,290.0,348.0,435.0,360.0,425.0,342.0,352.0,311.0,394.0,398.0,609.0,348.0,430.0,398.0,368.0,444.0,442.0,306.0,394.0,376.0,362.0,330.0,432.0,386.0,0.0,338.0,346.0,406.0,404.0,362.0,364.0,370.0,403.0,368.0,475.0,342.0,424.0,330.0,384.0,412.0,406.0,417.0,404.0,318.0,382.0,392.0,387.0,418.0,502.0,352.0,470.0,356.0,428.0,364.0,406.0,404.0,354.0,414.0,428.0,354.0,474.0,379.0,378.0,460.0,360.0,384.0,288.0,450.0,310.0,370.0,276.0,399.0,402.0,356.0,566.0
GRC,372.0,338.0,392.0,455.0,402.0,399.0,358.0,410.0,363.0,390.0,428.0,607.0,378.0,386.0,386.0,452.0,442.0,432.0,442.0,472.0,342.0,376.0,422.0,472.0,434.0,338.0,0.0,364.0,384.0,442.0,412.0,346.0,450.0,363.0,360.0,499.0,346.0,372.0,344.0,454.0,494.0,376.0,337.0,412.0,384.0,442.0,412.0,429.0,436.0,468.0,408.0,526.0,408.0,418.0,384.0,500.0,376.0,400.0,462.0,356.0,406.0,512.0,427.0,392.0,432.0,348.0,416.0,374.0,450.0,408.0,422.0,440.0,463.0,424.0,454.0,586.0
HKG,476.0,320.0,434.0,445.0,412.0,439.0,382.0,412.0,339.0,400.0,426.0,575.0,444.0,496.0,462.0,378.0,458.0,526.0,420.0,476.0,436.0,414.0,420.0,430.0,404.0,346.0,364.0,0.0,444.0,460.0,462.0,426.0,338.0,399.0,434.0,413.0,412.0,348.0,340.0,340.0,436.0,498.0,445.0,444.0,422.0,468.0,340.0,431.0,392.0,492.0,452.0,492.0,380.0,562.0,414.0,476.0,414.0,470.0,370.0,404.0,416.0,452.0,403.0,360.0,450.0,402.0,390.0,360.0,432.0,350.0,404.0,368.0,441.0,358.0,338.0,554.0
HRV,460.0,358.0,362.0,421.0,376.0,397.0,330.0,370.0,319.0,332.0,460.0,501.0,364.0,354.0,370.0,408.0,360.0,376.0,378.0,406.0,344.0,338.0,406.0,442.0,368.0,406.0,384.0,444.0,0.0,394.0,352.0,374.0,398.0,317.0,458.0,467.0,398.0,394.0,344.0,422.0,430.0,370.0,469.0,414.0,410.0,456.0,450.0,393.0,398.0,478.0,456.0,490.0,458.0,456.0,320.0,430.0,324.0,400.0,422.0,348.0,384.0,398.0,431.0,394.0,436.0,336.0,336.0,314.0,398.0,374.0,330.0,372.0,341.0,356.0,380.0,564.0
HUN,374.0,402.0,402.0,471.0,320.0,449.0,362.0,342.0,373.0,430.0,484.0,527.0,412.0,436.0,340.0,442.0,486.0,444.0,380.0,356.0,346.0,346.0,468.0,410.0,470.0,404.0,442.0,460.0,394.0,0.0,390.0,358.0,430.0,403.0,388.0,481.0,330.0,418.0,376.0,406.0,400.0,466.0,497.0,406.0,362.0,414.0,354.0,419.0,442.0,492.0,466.0,512.0,446.0,464.0,422.0,466.0,374.0,362.0,424.0,426.0,336.0,376.0,337.0,480.0,460.0,400.0,282.0,352.0,468.0,428.0,462.0,322.0,285.0,384.0,414.0,550.0
IDN,428.0,302.0,378.0,355.0,358.0,383.0,376.0,372.0,359.0,354.0,342.0,513.0,338.0,352.0,304.0,394.0,416.0,412.0,364.0,314.0,326.0,402.0,386.0,440.0,344.0,362.0,412.0,462.0,352.0,390.0,0.0,398.0,420.0,417.0,380.0,475.0,284.0,434.0,342.0,372.0,354.0,402.0,501.0,444.0,354.0,410.0,414.0,325.0,408.0,536.0,402.0,538.0,426.0,440.0,396.0,452.0,346.0,352.0,438.0,446.0,374.0,370.0,349.0,400.0,378.0,428.0,330.0,308.0,398.0,358.0,300.0,330.0,355.0,414.0,392.0,568.0
IRL,366.0,396.0,366.0,483.0,328.0,469.0,446.0,378.0,365.0,422.0,422.0,523.0,454.0,326.0,452.0,396.0,500.0,410.0,378.0,370.0,346.0,332.0,390.0,418.0,362.0,364.0,346.0,426.0,374.0,358.0,398.0,0.0,400.0,427.0,432.0,429.0,406.0,440.0,338.0,370.0,468.0,350.0,421.0,386.0,294.0,426.0,400.0,355.0,424.0,432.0,338.0,542.0,408.0,388.0,458.0,462.0,414.0,396.0,428.0,394.0,394.0,448.0,403.0,400.0,368.0,384.0,424.0,332.0,402.0,360.0,456.0,416.0,365.0,392.0,486.0,514.0
ISL,494.0,326.0,420.0,461.0,382.0,407.0,448.0,390.0,347.0,400.0,478.0,565.0,378.0,442.0,440.0,340.0,446.0,432.0,336.0,476.0,382.0,412.0,320.0,424.0,394.0,370.0,450.0,338.0,398.0,430.0,420.0,400.0,0.0,403.0,460.0,465.0,420.0,362.0,388.0,348.0,456.0,484.0,445.0,480.0,364.0,400.0,314.0,449.0,418.0,434.0,454.0,488.0,424.0,566.0,394.0,436.0,410.0,484.0,336.0,460.0,450.0,464.0,429.0,420.0,382.0,456.0,384.0,374.0,342.0,322.0,430.0,374.0,401.0,424.0,396.0,586.0
ITA,439.0,369.0,445.0,394.0,429.0,368.0,409.0,441.0,336.0,407.0,421.0,636.0,397.0,413.0,395.0,409.0,429.0,367.0,443.0,413.0,445.0,393.0,423.0,483.0,401.0,403.0,363.0,399.0,317.0,403.0,417.0,427.0,403.0,0.0,351.0,460.0,363.0,357.0,295.0,443.0,481.0,461.0,342.0,481.0,387.0,425.0,443.0,430.0,457.0,431.0,447.0,459.0,427.0,457.0,333.0,497.0,363.0,335.0,455.0,405.0,367.0,393.0,422.0,287.0,387.0,309.0,287.0,353.0,439.0,399.0,419.0,401.0,386.0,431.0,413.0,561.0
JOR,294.0,260.0,346.0,435.0,358.0,427.0,386.0,446.0,419.0,372.0,366.0,557.0,424.0,424.0,334.0,406.0,466.0,440.0,406.0,382.0,336.0,438.0,434.0,520.0,436.0,368.0,360.0,434.0,458.0,388.0,380.0,432.0,460.0,351.0,0.0,455.0,360.0,286.0,284.0,394.0,402.0,382.0,375.0,454.0,388.0,372.0,334.0,417.0,424.0,464.0,378.0,482.0,342.0,434.0,408.0,508.0,344.0,264.0,500.0,448.0,360.0,426.0,367.0,308.0,400.0,336.0,374.0,290.0,452.0,448.0,452.0,344.0,409.0,430.0,434.0,556.0
JPN,469.0,399.0,415.0,506.0,399.0,454.0,497.0,513.0,398.0,537.0,497.0,572.0,465.0,433.0,475.0,361.0,495.0,445.0,485.0,481.0,397.0,373.0,445.0,505.0,463.0,475.0,499.0,413.0,467.0,481.0,475.0,429.0,465.0,460.0,455.0,0.0,427.0,425.0,379.0,421.0,413.0,489.0,504.0,543.0,459.0,455.0,439.0,386.0,417.0,509.0,417.0,553.0,449.0,545.0,511.0,527.0,505.0,455.0,471.0,449.0,391.0,473.0,452.0,475.0,489.0,395.0,443.0,387.0,417.0,487.0,473.0,451.0,472.0,421.0,451.0,595.0
KAZ,418.0,298.0,386.0,405.0,330.0,375.0,306.0,312.0,379.0,386.0,402.0,587.0,336.0,332.0,288.0,410.0,426.0,426.0,382.0,388.0,310.0,360.0,350.0,414.0,414.0,342.0,346.0,412.0,398.0,330.0,284.0,406.0,420.0,363.0,360.0,427.0,0.0,386.0,260.0,408.0,388.0,424.0,377.0,384.0,338.0,342.0,346.0,337.0,466.0,488.0,424.0,466.0,400.0,476.0,330.0,428.0,342.0,306.0,394.0,436.0,300.0,372.0,321.0,370.0,402.0,376.0,300.0,350.0,438.0,362.0,394.0,308.0,363.0,440.0,350.0,508.0
KSV,390.0,334.0,368.0,513.0,388.0,467.0,406.0,436.0,397.0,340.0,426.0,579.0,428.0,376.0,390.0,384.0,424.0,446.0,496.0,476.0,380.0,384.0,388.0,494.0,478.0,424.0,372.0,348.0,394.0,418.0,434.0,440.0,362.0,357.0,286.0,425.0,386.0,0.0,268.0,372.0,472.0,434.0,393.0,430.0,408.0,428.0,374.0,417.0,496.0,416.0,442.0,460.0,324.0,500.0,394.0,514.0,366.0,320.0,370.0,406.0,380.0,386.0,387.0,342.0,422.0,384.0,398.0,330.0,434.0,452.0,412.0,432.0,427.0,408.0,474.0,580.0
LTU,408.0,284.0,342.0,401.0,270.0,447.0,344.0,350.0,331.0,386.0,366.0,577.0,388.0,360.0,282.0,352.0,378.0,400.0,366.0,392.0,322.0,328.0,384.0,448.0,368.0,330.0,344.0,340.0,344.0,376.0,342.0,338.0,388.0,295.0,284.0,379.0,260.0,268.0,0.0,360.0,338.0,354.0,307.0,426.0,318.0,414.0,330.0,345.0,368.0,410.0,396.0,464.0,338.0,440.0,382.0,448.0,320.0,286.0,368.0,338.0,318.0,378.0,367.0,292.0,378.0,328.0,254.0,256.0,394.0,382.0,398.0,296.0,341.0,358.0,366.0,564.0
LUX,376.0,316.0,378.0,427.0,394.0,413.0,378.0,446.0,357.0,408.0,456.0,545.0,406.0,464.0,398.0,354.0,498.0,382.0,422.0,368.0,372.0,390.0,396.0,508.0,384.0,384.0,454.0,340.0,422.0,406.0,372.0,370.0,348.0,443.0,394.0,421.0,408.0,372.0,360.0,0.0,406.0,524.0,503.0,450.0,400.0,440.0,344.0,417.0,466.0,574.0,460.0,444.0,434.0,524.0,430.0,524.0,360.0,432.0,426.0,394.0,422.0,458.0,401.0,446.0,482.0,456.0,422.0,352.0,324.0,374.0,392.0,368.0,415.0,440.0,388.0,598.0
LVA,470.0,362.0,398.0,359.0,352.0,441.0,436.0,314.0,429.0,414.0,410.0,555.0,440.0,440.0,370.0,440.0,390.0,422.0,370.0,440.0,360.0,430.0,436.0,440.0,398.0,412.0,494.0,436.0,430.0,400.0,354.0,468.0,456.0,481.0,402.0,413.0,388.0,472.0,338.0,406.0,0.0,434.0,499.0,406.0,452.0,402.0,344.0,431.0,422.0,544.0,356.0,440.0,438.0,518.0,376.0,412.0,408.0,410.0,446.0,484.0,410.0,420.0,397.0,460.0,420.0,370.0,432.0,302.0,434.0,420.0,362.0,382.0,391.0,418.0,386.0,464.0
MAC,406.0,340.0,410.0,475.0,416.0,517.0,452.0,422.0,481.0,452.0,432.0,577.0,460.0,354.0,384.0,412.0,470.0,500.0,440.0,456.0,392.0,418.0,446.0,490.0,468.0,406.0,376.0,498.0,370.0,466.0,402.0,350.0,484.0,461.0,382.0,489.0,424.0,434.0,354.0,524.0,434.0,0.0,449.0,398.0,352.0,454.0,488.0,357.0,404.0,506.0,400.0,574.0,352.0,386.0,406.0,420.0,456.0,406.0,428.0,404.0,392.0,456.0,481.0,448.0,424.0,376.0,456.0,364.0,416.0,368.0,468.0,450.0,425.0,392.0,516.0,506.0
