,ALB,ARE,ARG,AUS,AUT,BEL,BGR,BIH,BLR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CZE,DEU,DNK,DOM,ESP,EST,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IRL,ISL,ITA,JOR,JPN,KAZ,KOR,KSV,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNE,MYS,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,QAT,QAZ,QCI,QMR,QRT,ROU,RUS,SAU,SGP,SRB,SVK,SVN,SWE,TAP,THA,TUR,UKR,URY,USA,VNM
ALB,0.0,482.0,528.0,547.0,542.0,617.0,472.0,510.0,665.0,566.0,562.0,609.0,556.0,576.0,476.0,572.0,540.0,674.0,420.0,534.0,486.0,552.0,487.0,574.0,550.0,568.0,431.0,510.0,530.0,608.0,588.0,498.0,582.0,509.0,566.0,649.0,446.0,675.0,578.0,572.0,514.0,518.0,658.0,529.0,558.0,524.0,592.0,501.0,483.0,542.0,606.0,504.0,568.0,522.0,582.0,576.0,480.0,462.0,428.0,634.0,687.0,554.0,528.0,609.0,486.0,650.0,462.0,548.0,611.0,632.0,536.0,606.0,520.0,551.0,554.0,616.0,554.0
ARE,482.0,0.0,546.0,495.0,434.0,489.0,538.0,440.0,555.0,408.0,462.0,523.0,350.0,514.0,408.0,484.0,332.0,436.0,402.0,512.0,396.0,428.0,460.0,382.0,408.0,430.0,424.0,522.0,422.0,422.0,556.0,432.0,460.0,445.0,442.0,557.0,318.0,588.0,546.0,374.0,488.0,426.0,598.0,485.0,476.0,450.0,482.0,396.0,417.0,490.0,490.0,476.0,388.0,492.0,390.0,378.0,396.0,300.0,466.0,536.0,542.0,454.0,398.0,419.0,434.0,526.0,406.0,564.0,448.0,486.0,560.0,478.0,368.0,455.0,422.0,476.0,654.0
ARG,528.0,546.0,0.0,489.0,528.0,573.0,394.0,506.0,489.0,522.0,488.0,697.0,438.0,416.0,450.0,570.0,454.0,434.0,424.0,524.0,450.0,570.0,554.0,486.0,482.0,428.0,433.0,504.0,364.0,512.0,572.0,432.0,482.0,437.0,392.0,619.0,552.0,639.0,634.0,528.0,544.0,480.0,634.0,439.0,504.0,500.0,450.0,463.0,509.0,548.0,572.0,556.0,490.0,476.0,566.0,487.0,450.0,554.0,526.0,556.0,485.0,520.0,448.0,489.0,422.0,522.0,464.0,430.0,460.0,473.0,596.0,652.0,472.0,457.0,420.0,640.0,596.0
AUS,547.0,495.0,489.0,0.0,421.0,472.0,439.0,371.0,450.0,471.0,487.0,646.0,417.0,429.0,431.0,605.0,469.0,455.0,453.0,449.0,411.0,521.0,419.0,435.0,473.0,499.0,343.0,471.0,457.0,485.0,657.0,403.0,431.0,456.0,441.0,518.0,409.0,603.0,559.0,429.0,511.0,375.0,551.0,412.0,497.0,453.0,447.0,431.0,596.0,493.0,591.0,423.0,585.0,523.0,445.0,409.0,465.0,499.0,419.0,495.0,559.0,417.0,361.0,466.0,377.0,651.0,491.0,495.0,423.0,497.0,645.0,691.0,445.0,532.0,451.0,471.0,603.0
AUT,542.0,434.0,528.0,421.0,0.0,465.0,444.0,410.0,523.0,454.0,512.0,577.0,436.0,434.0,450.0,504.0,446.0,438.0,518.0,496.0,384.0,484.0,507.0,478.0,510.0,474.0,458.0,550.0,416.0,512.0,656.0,412.0,430.0,449.0,462.0,623.0,338.0,642.0,504.0,408.0,408.0,550.0,666.0,437.0,516.0,424.0,418.0,482.0,629.0,510.0,620.0,542.0,466.0,592.0,468.0,465.0,442.0,432.0,518.0,546.0,600.0,418.0,386.0,433.0,430.0,676.0,554.0,556.0,517.0,513.0,508.0,550.0,422.0,529.0,440.0,482.0,626.0
BEL,617.0,489.0,573.0,472.0,465.0,0.0,641.0,489.0,516.0,593.0,633.0,598.0,495.0,501.0,537.0,607.0,587.0,553.0,589.0,573.0,579.0,559.0,503.0,471.0,477.0,571.0,511.0,649.0,517.0,515.0,603.0,511.0,491.0,526.0,541.0,612.0,513.0,563.0,653.0,457.0,535.0,597.0,623.0,484.0,561.0,521.0,543.0,523.0,538.0,651.0,571.0,561.0,557.0,675.0,531.0,539.0,541.0,483.0,529.0,499.0,527.0,519.0,459.0,472.0,539.0,599.0,489.0,553.0,569.0,589.0,563.0,611.0,503.0,520.0,505.0,519.0,809.0
BGR,472.0,538.0,394.0,439.0,444.0,641.0,0.0,394.0,519.0,502.0,466.0,613.0,434.0,544.0,418.0,520.0,510.0,504.0,386.0,528.0,386.0,420.0,471.0,486.0,508.0,430.0,370.0,488.0,428.0,456.0,600.0,390.0,458.0,393.0,400.0,673.0,478.0,624.0,500.0,468.0,444.0,466.0,644.0,417.0,526.0,492.0,478.0,456.0,601.0,506.0,598.0,510.0,514.0,516.0,532.0,437.0,344.0,520.0,476.0,592.0,586.0,440.0,464.0,503.0,390.0,648.0,494.0,404.0,371.0,511.0,614.0,700.0,512.0,491.0,458.0,532.0,566.0
BIH,510.0,440.0,506.0,371.0,410.0,489.0,394.0,0.0,435.0,426.0,404.0,519.0,384.0,424.0,434.0,478.0,458.0,504.0,406.0,406.0,364.0,454.0,459.0,442.0,506.0,372.0,419.0,470.0,412.0,438.0,642.0,304.0,492.0,429.0,416.0,691.0,426.0,621.0,462.0,466.0,396.0,482.0,598.0,387.0,504.0,388.0,468.0,403.0,489.0,474.0,590.0,464.0,416.0,520.0,506.0,438.0,364.0,432.0,368.0,532.0,537.0,330.0,440.0,359.0,346.0,668.0,462.0,414.0,441.0,498.0,534.0,604.0,428.0,461.0,496.0,528.0,678.0
BLR,665.0,555.0,489.0,450.0,523.0,516.0,519.0,435.0,0.0,589.0,515.0,688.0,425.0,499.0,445.0,549.0,487.0,425.0,539.0,579.0,473.0,541.0,471.0,561.0,525.0,473.0,455.0,535.0,445.0,383.0,673.0,431.0,481.0,522.0,561.0,668.0,537.0,585.0,605.0,525.0,449.0,401.0,597.0,516.0,461.0,519.0,511.0,549.0,514.0,501.0,537.0,625.0,577.0,513.0,561.0,585.0,423.0,605.0,605.0,479.0,545.0,487.0,451.0,482.0,473.0,539.0,593.0,521.0,493.0,491.0,583.0,599.0,471.0,430.0,497.0,515.0,633.0
BRA,566.0,408.0,522.0,471.0,454.0,593.0,502.0,426.0,589.0,0.0,490.0,509.0,418.0,502.0,440.0,542.0,416.0,458.0,492.0,444.0,438.0,464.0,540.0,532.0,486.0,362.0,456.0,634.0,456.0,494.0,610.0,530.0,550.0,379.0,386.0,643.0,486.0,672.0,440.0,490.0,530.0,510.0,702.0,463.0,620.0,522.0,564.0,434.0,543.0,512.0,554.0,498.0,462.0,486.0,480.0,562.0,484.0,386.0,466.0,598.0,588.0,442.0,420.0,307.0,444.0,688.0,500.0,516.0,426.0,552.0,646.0,518.0,424.0,537.0,476.0,476.0,560.0
BRN,562.0,462.0,488.0,487.0,512.0,633.0,466.0,404.0,515.0,490.0,0.0,539.0,462.0,446.0,404.0,532.0,374.0,466.0,466.0,502.0,342.0,500.0,532.0,552.0,406.0,460.0,426.0,528.0,460.0,486.0,572.0,426.0,616.0,503.0,456.0,619.0,436.0,646.0,514.0,432.0,482.0,470.0,538.0,531.0,632.0,518.0,490.0,470.0,503.0,422.0,598.0,462.0,466.0,452.0,524.0,440.0,478.0,498.0,600.0,576.0,640.0,478.0,486.0,497.0,432.0,554.0,536.0,546.0,560.0,548.0,572.0,544.0,432.0,541.0,522.0,542.0,566.0
CAN,609.0,523.0,697.0,646.0,577.0,598.0,613.0,519.0,688.0,509.0,539.0,0.0,573.0,605.0,581.0,499.0,513.0,611.0,563.0,577.0,599.0,531.0,585.0,597.0,575.0,549.0,553.0,695.0,641.0,595.0,621.0,559.0,651.0,458.0,569.0,632.0,531.0,661.0,501.0,587.0,527.0,573.0,705.0,564.0,691.0,599.0,597.0,521.0,570.0,651.0,593.0,517.0,525.0,647.0,581.0,523.0,601.0,511.0,531.0,679.0,653.0,565.0,573.0,570.0,595.0,655.0,521.0,641.0,515.0,627.0,679.0,631.0,479.0,574.0,611.0,589.0,747.0
CHE,556.0,350.0,438.0,417.0,436.0,495.0,434.0,384.0,425.0,418.0,462.0,573.0,0.0,444.0,428.0,506.0,418.0,402.0,392.0,426.0,398.0,432.0,431.0,338.0,470.0,258.0,380.0,520.0,344.0,388.0,532.0,372.0,384.0,367.0,356.0,573.0,414.0,582.0,542.0,384.0,442.0,448.0,600.0,345.0,454.0,398.0,446.0,484.0,485.0,550.0,420.0,506.0,448.0,488.0,494.0,451.0,322.0,460.0,380.0,524.0,538.0,432.0,308.0,353.0,378.0,546.0,468.0,456.0,383.0,373.0,580.0,568.0,416.0,385.0,404.0,548.0,652.0
CHL,576.0,514.0,416.0,429.0,434.0,501.0,544.0,424.0,499.0,502.0,446.0,605.0,444.0,0.0,496.0,610.0,416.0,492.0,494.0,480.0,416.0,582.0,520.0,490.0,590.0,500.0,431.0,474.0,428.0,542.0,630.0,478.0,508.0,527.0,394.0,685.0,448.0,669.0,562.0,496.0,468.0,520.0,664.0,471.0,520.0,462.0,546.0,489.0,547.0,474.0,620.0,516.0,456.0,462.0,544.0,451.0,570.0,502.0,404.0,590.0,523.0,474.0,472.0,491.0,448.0,642.0,472.0,498.0,568.0,561.0,604.0,590.0,406.0,461.0,440.0,598.0,614.0
COL,476.0,408.0,450.0,431.0,450.0,537.0,418.0,434.0,445.0,440.0,404.0,581.0,428.0,496.0,0.0,512.0,374.0,426.0,420.0,400.0,376.0,454.0,490.0,498.0,408.0,462.0,386.0,482.0,458.0,436.0,654.0,466.0,534.0,473.0,458.0,517.0,368.0,694.0,542.0,360.0,444.0,406.0,642.0,449.0,564.0,476.0,406.0,464.0,547.0,476.0,596.0,532.0,432.0,422.0,506.0,428.0,362.0,450.0,540.0,548.0,512.0,458.0,436.0,431.0,442.0,586.0,408.0,472.0,416.0,594.0,596.0,598.0,396.0,405.0,448.0,526.0,618.0
CRI,572.0,484.0,570.0,605.0,504.0,607.0,520.0,478.0,549.0,542.0,532.0,499.0,506.0,610.0,512.0,0.0,532.0,518.0,598.0,524.0,480.0,510.0,562.0,542.0,552.0,538.0,584.0,618.0,468.0,568.0,550.0,466.0,538.0,479.0,616.0,703.0,440.0,598.0,548.0,528.0,440.0,520.0,664.0,551.0,492.0,506.0,438.0,508.0,501.0,658.0,504.0,640.0,470.0,628.0,546.0,532.0,474.0,496.0,570.0,606.0,610.0,426.0,540.0,565.0,472.0,632.0,586.0,580.0,528.0,474.0,622.0,472.0,384.0,533.0,592.0,534.0,682.0
CZE,540.0,332.0,454.0,469.0,446.0,587.0,510.0,458.0,487.0,416.0,374.0,513.0,418.0,416.0,374.0,532.0,0.0,374.0,396.0,438.0,340.0,460.0,517.0,450.0,344.0,454.0,398.0,474.0,422.0,398.0,574.0,468.0,526.0,419.0,382.0,489.0,420.0,646.0,528.0,458.0,486.0,396.0,540.0,443.0,520.0,444.0,414.0,394.0,509.0,394.0,496.0,450.0,362.0,428.0,480.0,437.0,468.0,410.0,514.0,518.0,510.0,458.0,390.0,429.0,438.0,528.0,446.0,554.0,439.0,473.0,564.0,552.0,332.0,415.0,380.0,508.0,580.0
DEU,674.0,436.0,434.0,455.0,438.0,553.0,504.0,504.0,425.0,458.0,466.0,611.0,402.0,492.0,426.0,518.0,374.0,0.0,516.0,528.0,362.0,436.0,520.0,486.0,538.0,442.0,428.0,564.0,396.0,476.0,642.0,426.0,434.0,405.0,420.0,541.0,454.0,584.0,542.0,404.0,500.0,452.0,592.0,483.0,506.0,536.0,434.0,466.0,583.0,492.0,482.0,608.0,520.0,484.0,456.0,464.0,384.0,482.0,588.0,470.0,528.0,450.0,410.0,467.0,482.0,532.0,462.0,560.0,412.0,492.0,648.0,470.0,434.0,457.0,428.0,486.0,654.0
DNK,420.0,402.0,424.0,453.0,518.0,589.0,386.0,406.0,539.0,492.0,466.0,563.0,392.0,494.0,420.0,598.0,396.0,516.0,0.0,484.0,428.0,428.0,471.0,508.0,542.0,408.0,390.0,424.0,436.0,458.0,678.0,426.0,530.0,445.0,400.0,571.0,474.0,628.0,562.0,488.0,524.0,442.0,568.0,443.0,534.0,416.0,480.0,476.0,525.0,458.0,492.0,446.0,484.0,476.0,578.0,415.0,444.0,446.0,412.0,524.0,538.0,474.0,426.0,457.0,468.0,514.0,428.0,410.0,361.0,503.0,552.0,686.0,468.0,491.0,542.0,604.0,586.0
DOM,534.0,512.0,524.0,449.0,496.0,573.0,528.0,406.0,579.0,444.0,502.0,577.0,426.0,480.0,400.0,524.0,438.0,528.0,484.0,0.0,452.0,514.0,623.0,490.0,506.0,460.0,493.0,538.0,436.0,544.0,532.0,514.0,566.0,511.0,468.0,571.0,424.0,759.0,474.0,474.0,570.0,482.0,678.0,401.0,544.0,496.0,524.0,393.0,555.0,632.0,596.0,578.0,366.0,500.0,518.0,474.0,480.0,460.0,314.0,670.0,507.0,458.0,458.0,413.0,456.0,696.0,476.0,496.0,545.0,538.0,720.0,682.0,410.0,473.0,408.0,630.0,730.0
ESP,486.0,396.0,450.0,411.0,384.0,579.0,386.0,364.0,473.0,438.0,342.0,599.0,398.0,416.0,376.0,480.0,340.0,362.0,428.0,452.0,0.0,422.0,503.0,426.0,440.0,440.0,354.0,508.0,386.0,390.0,600.0,358.0,486.0,439.0,468.0,621.0,330.0,604.0,532.0,378.0,422.0,480.0,594.0,401.0,514.0,454.0,440.0,402.0,543.0,342.0,516.0,492.0,464.0,424.0,486.0,419.0,384.0,426.0,498.0,512.0,558.0,388.0,390.0,451.0,348.0,602.0,392.0,492.0,445.0,475.0,614.0,560.0,376.0,503.0,448.0,488.0,622.0
EST,552.0,428.0,570.0,521.0,484.0,559.0,420.0,454.0,541.0,464.0,500.0,531.0,432.0,582.0,454.0,510.0,460.0,436.0,428.0,514.0,422.0,0.0,441.0,490.0,518.0,412.0,403.0,528.0,476.0,478.0,600.0,454.0,542.0,489.0,500.0,525.0,432.0,555.0,516.0,452.0,392.0,502.0,648.0,491.0,592.0,508.0,474.0,451.0,589.0,474.0,504.0,582.0,506.0,534.0,544.0,444.0,410.0,480.0,492.0,614.0,533.0,438.0,518.0,467.0,472.0,582.0,466.0,482.0,409.0,524.0,586.0,572.0,480.0,523.0,518.0,448.0,640.0
FIN,487.0,460.0,554.0,419.0,507.0,503.0,471.0,459.0,471.0,540.0,532.0,585.0,431.0,520.0,490.0,562.0,517.0,520.0,471.0,623.0,503.0,441.0,0.0,519.0,551.0,451.0,417.0,517.0,483.0,487.0,506.0,429.0,518.0,399.0,502.0,636.0,454.0,657.0,650.0,519.0,444.0,477.0,595.0,529.0,553.0,525.0,525.0,527.0,580.0,523.0,565.0,514.0,580.0,546.0,526.0,439.0,387.0,546.0,521.0,470.0,673.0,481.0,393.0,525.0,502.0,572.0,541.0,391.0,430.0,559.0,541.0,530.0,504.0,559.0,533.0,499.0,494.0
