,ALB,ARE,ARG,AUS,AUT,BEL,BGR,BIH,BLR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CZE,DEU,DNK,DOM,ESP,EST,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IRL,ISL,ITA,JOR,JPN,KAZ,KOR,KSV,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNE,MYS,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,QAT,QAZ,QCI,QMR,QRT,ROU,RUS,SAU,SGP,SRB,SVK,SVN,SWE,TAP,THA,TUR,UKR,URY,USA,VNM
ALB,0.0,408.0,560.0,479.0,458.0,635.0,475.0,390.0,495.0,434.0,518.0,635.0,418.0,446.0,524.0,560.0,496.0,644.0,416.0,586.0,550.0,447.0,569.0,514.0,476.0,556.0,529.0,498.0,490.0,534.0,528.0,436.0,410.0,551.0,560.0,443.0,532.0,679.0,594.0,500.0,520.0,488.0,590.0,605.0,500.0,490.0,536.0,466.0,583.0,552.0,616.0,566.0,626.0,532.0,630.0,428.0,534.0,498.0,540.0,524.0,443.0,482.0,452.0,521.0,598.0,558.0,462.0,404.0,467.0,480.0,434.0,590.0,498.0,447.0,504.0,553.0,686.0
ARE,408.0,0.0,534.0,519.0,434.0,615.0,425.0,468.0,469.0,482.0,414.0,531.0,386.0,452.0,560.0,650.0,462.0,662.0,434.0,392.0,502.0,521.0,485.0,504.0,458.0,444.0,475.0,562.0,448.0,442.0,470.0,492.0,446.0,453.0,470.0,543.0,458.0,723.0,568.0,368.0,486.0,440.0,542.0,481.0,436.0,438.0,536.0,416.0,477.0,522.0,567.0,586.0,500.0,452.0,516.0,514.0,504.0,334.0,568.0,506.0,503.0,458.0,392.0,445.0,542.0,466.0,366.0,472.0,425.0,474.0,438.0,584.0,552.0,391.0,498.0,499.0,722.0
ARG,560.0,534.0,0.0,515.0,458.0,539.0,568.0,520.0,603.0,480.0,480.0,647.0,522.0,438.0,542.0,446.0,416.0,460.0,530.0,548.0,416.0,458.0,572.0,524.0,502.0,614.0,574.0,542.0,462.0,500.0,474.0,460.0,552.0,399.0,492.0,565.0,564.0,718.0,612.0,514.0,508.0,630.0,668.0,515.0,554.0,474.0,628.0,564.0,601.0,510.0,576.0,540.0,456.0,504.0,616.0,520.0,498.0,476.0,640.0,478.0,584.0,520.0,538.0,525.0,560.0,464.0,538.0,596.0,594.0,466.0,564.0,584.0,676.0,535.0,490.0,620.0,592.0
AUS,479.0,519.0,515.0,0.0,391.0,536.0,421.0,393.0,490.0,385.0,499.0,550.0,445.0,457.0,387.0,571.0,365.0,429.0,491.0,525.0,491.0,439.0,451.0,547.0,443.0,557.0,407.0,513.0,513.0,469.0,369.0,423.0,473.0,372.0,435.0,558.0,481.0,619.0,589.0,473.0,403.0,449.0,633.0,410.0,493.0,425.0,503.0,463.0,528.0,443.0,519.0,409.0,547.0,441.0,529.0,377.0,471.0,563.0,455.0,585.0,523.0,453.0,587.0,488.0,523.0,353.0,481.0,529.0,459.0,359.0,563.0,583.0,529.0,432.0,377.0,513.0,537.0
AUT,458.0,434.0,458.0,391.0,0.0,565.0,512.0,426.0,485.0,316.0,452.0,547.0,486.0,486.0,472.0,526.0,388.0,548.0,522.0,506.0,420.0,438.0,578.0,502.0,444.0,622.0,500.0,560.0,486.0,434.0,396.0,426.0,484.0,461.0,466.0,581.0,498.0,670.0,578.0,358.0,456.0,440.0,652.0,493.0,490.0,404.0,512.0,426.0,535.0,410.0,600.0,422.0,590.0,398.0,536.0,356.0,476.0,552.0,572.0,596.0,562.0,500.0,548.0,509.0,520.0,406.0,456.0,560.0,420.0,410.0,550.0,536.0,530.0,403.0,394.0,508.0,690.0
BEL,635.0,615.0,539.0,536.0,565.0,0.0,591.0,581.0,648.0,533.0,563.0,590.0,559.0,563.0,553.0,427.0,569.0,649.0,637.0,533.0,501.0,575.0,505.0,563.0,531.0,707.0,569.0,629.0,533.0,537.0,585.0,573.0,527.0,522.0,563.0,694.0,673.0,639.0,743.0,637.0,481.0,497.0,645.0,508.0,571.0,569.0,639.0,599.0,570.0,433.0,593.0,437.0,593.0,655.0,625.0,561.0,463.0,675.0,631.0,577.0,615.0,637.0,525.0,526.0,591.0,459.0,563.0,553.0,529.0,535.0,557.0,551.0,585.0,558.0,621.0,523.0,539.0
BGR,475.0,425.0,568.0,421.0,512.0,591.0,0.0,415.0,501.0,452.0,533.0,599.0,398.0,445.0,484.0,596.0,430.0,516.0,480.0,478.0,520.0,527.0,467.0,458.0,435.0,491.0,412.0,495.0,523.0,464.0,386.0,429.0,440.0,535.0,480.0,540.0,489.0,510.0,570.0,486.0,546.0,497.0,556.0,423.0,439.0,453.0,586.0,467.0,562.0,488.0,631.0,590.0,546.0,421.0,486.0,428.0,550.0,506.0,460.0,603.0,480.0,427.0,547.0,501.0,538.0,528.0,467.0,477.0,347.0,488.0,543.0,558.0,481.0,437.0,428.0,519.0,662.0
BIH,390.0,468.0,520.0,393.0,426.0,581.0,415.0,0.0,401.0,376.0,392.0,623.0,360.0,444.0,332.0,540.0,360.0,450.0,528.0,454.0,456.0,527.0,529.0,424.0,418.0,526.0,425.0,370.0,420.0,398.0,434.0,462.0,484.0,451.0,462.0,471.0,460.0,619.0,532.0,502.0,478.0,500.0,602.0,499.0,432.0,378.0,496.0,410.0,563.0,534.0,521.0,518.0,564.0,408.0,574.0,380.0,548.0,548.0,464.0,544.0,367.0,442.0,454.0,463.0,568.0,424.0,424.0,500.0,467.0,452.0,514.0,578.0,466.0,427.0,470.0,563.0,626.0
BLR,495.0,469.0,603.0,490.0,485.0,648.0,501.0,401.0,0.0,463.0,561.0,682.0,371.0,477.0,453.0,645.0,455.0,533.0,425.0,489.0,515.0,557.0,499.0,531.0,401.0,639.0,507.0,481.0,469.0,401.0,501.0,493.0,581.0,510.0,543.0,450.0,373.0,537.0,603.0,481.0,535.0,535.0,559.0,568.0,471.0,511.0,501.0,435.0,576.0,469.0,631.0,539.0,531.0,451.0,567.0,479.0,501.0,537.0,585.0,555.0,487.0,467.0,493.0,444.0,539.0,487.0,425.0,521.0,441.0,481.0,585.0,591.0,511.0,412.0,491.0,539.0,647.0
BRA,434.0,482.0,480.0,385.0,316.0,533.0,452.0,376.0,463.0,0.0,454.0,479.0,364.0,434.0,402.0,518.0,446.0,440.0,536.0,474.0,396.0,450.0,494.0,422.0,356.0,572.0,454.0,514.0,458.0,386.0,408.0,430.0,470.0,413.0,454.0,581.0,484.0,618.0,610.0,442.0,386.0,482.0,548.0,489.0,502.0,416.0,514.0,422.0,603.0,454.0,586.0,428.0,526.0,406.0,532.0,370.0,478.0,448.0,510.0,594.0,524.0,474.0,490.0,443.0,520.0,468.0,392.0,462.0,430.0,364.0,506.0,552.0,440.0,447.0,362.0,564.0,614.0
BRN,518.0,414.0,480.0,499.0,452.0,563.0,533.0,392.0,561.0,454.0,0.0,605.0,414.0,454.0,458.0,492.0,412.0,574.0,582.0,474.0,464.0,503.0,509.0,528.0,458.0,562.0,495.0,372.0,516.0,480.0,540.0,496.0,486.0,441.0,560.0,597.0,556.0,695.0,528.0,434.0,508.0,490.0,662.0,565.0,538.0,426.0,466.0,466.0,509.0,478.0,559.0,540.0,530.0,494.0,600.0,430.0,558.0,526.0,488.0,566.0,499.0,518.0,520.0,499.0,564.0,488.0,438.0,446.0,539.0,470.0,524.0,522.0,520.0,477.0,444.0,609.0,630.0
CAN,635.0,531.0,647.0,550.0,547.0,590.0,599.0,623.0,682.0,479.0,605.0,0.0,579.0,601.0,615.0,647.0,551.0,687.0,667.0,631.0,543.0,617.0,559.0,527.0,507.0,651.0,579.0,663.0,567.0,553.0,571.0,581.0,583.0,548.0,599.0,630.0,639.0,719.0,757.0,595.0,651.0,535.0,673.0,738.0,691.0,565.0,695.0,659.0,668.0,599.0,593.0,583.0,647.0,581.0,615.0,623.0,595.0,531.0,731.0,641.0,705.0,633.0,513.0,624.0,595.0,515.0,613.0,631.0,569.0,493.0,607.0,657.0,601.0,550.0,631.0,655.0,667.0
CHE,418.0,386.0,522.0,445.0,486.0,559.0,398.0,360.0,371.0,364.0,414.0,579.0,0.0,386.0,406.0,624.0,472.0,454.0,436.0,390.0,444.0,495.0,411.0,442.0,348.0,536.0,398.0,426.0,450.0,406.0,466.0,408.0,478.0,417.0,540.0,537.0,500.0,604.0,592.0,408.0,546.0,468.0,568.0,507.0,452.0,446.0,452.0,380.0,519.0,470.0,558.0,468.0,444.0,502.0,544.0,464.0,488.0,450.0,508.0,590.0,442.0,432.0,456.0,415.0,578.0,450.0,370.0,402.0,411.0,442.0,482.0,604.0,444.0,371.0,402.0,541.0,658.0
