,ALB,ARE,ARG,AUS,AUT,BEL,BGR,BIH,BLR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CZE,DEU,DNK,DOM,ESP,EST,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IRL,ISL,ITA,JOR,JPN,KAZ,KOR,KSV,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNE,MYS,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,QAT,QAZ,QCI,QMR,QRT,ROU,RUS,SAU,SGP,SRB,SVK,SVN,SWE,TAP,THA,TUR,UKR,URY,USA,VNM
ALB,0.0,416.0,482.0,523.0,472.0,599.0,494.0,596.0,593.0,716.0,470.0,721.0,562.0,570.0,474.0,518.0,413.0,552.0,539.0,460.0,428.0,458.0,609.0,600.0,640.0,466.0,443.0,596.0,494.0,582.0,550.0,417.0,452.0,435.0,426.0,622.0,452.0,564.0,452.0,408.0,588.0,450.0,550.0,455.0,511.0,458.0,433.0,419.0,569.0,582.0,603.0,659.0,562.0,556.0,592.0,492.0,552.0,474.0,420.0,590.0,599.0,458.0,588.0,445.0,518.0,645.0,408.0,454.0,446.0,452.0,470.0,522.0,524.0,611.0,484.0,610.0,582.0
ARE,416.0,0.0,488.0,465.0,468.0,543.0,466.0,588.0,573.0,632.0,484.0,565.0,462.0,542.0,516.0,610.0,401.0,508.0,417.0,554.0,332.0,470.0,569.0,576.0,562.0,500.0,504.0,528.0,448.0,498.0,438.0,419.0,499.0,329.0,454.0,542.0,430.0,622.0,496.0,472.0,476.0,470.0,548.0,539.0,538.0,534.0,494.0,472.0,617.0,497.0,544.0,399.0,552.0,476.0,630.0,430.0,530.0,438.0,476.0,646.0,602.0,592.0,500.0,505.0,516.0,583.0,364.0,496.0,462.0,490.0,574.0,516.0,610.0,485.0,462.0,608.0,644.0
ARG,482.0,488.0,0.0,517.0,464.0,591.0,450.0,560.0,473.0,526.0,486.0,659.0,478.0,638.0,480.0,580.0,446.0,464.0,516.0,430.0,458.0,484.0,584.0,462.0,576.0,460.0,557.0,628.0,520.0,566.0,502.0,366.0,562.0,487.0,418.0,557.0,450.0,422.0,528.0,414.0,594.0,320.0,474.0,519.0,603.0,536.0,449.0,505.0,539.0,644.0,590.0,536.0,470.0,528.0,620.0,510.0,628.0,450.0,482.0,566.0,415.0,614.0,520.0,511.0,566.0,585.0,502.0,508.0,484.0,476.0,474.0,654.0,572.0,557.0,524.0,646.0,644.0
AUS,523.0,465.0,517.0,0.0,517.0,588.0,537.0,711.0,542.0,617.0,443.0,698.0,381.0,549.0,607.0,603.0,513.0,449.0,515.0,561.0,459.0,581.0,677.0,617.0,443.0,569.0,571.0,645.0,567.0,461.0,509.0,555.0,468.0,492.0,559.0,616.0,539.0,627.0,499.0,573.0,663.0,481.0,613.0,596.0,575.0,533.0,405.0,563.0,704.0,533.0,601.0,432.0,533.0,557.0,643.0,607.0,543.0,569.0,473.0,689.0,531.0,623.0,541.0,618.0,473.0,602.0,527.0,523.0,557.0,523.0,587.0,521.0,493.0,592.0,543.0,563.0,609.0
AUT,472.0,468.0,464.0,517.0,0.0,533.0,562.0,668.0,593.0,642.0,500.0,661.0,390.0,500.0,456.0,520.0,465.0,470.0,419.0,612.0,478.0,488.0,631.0,450.0,548.0,520.0,416.0,510.0,436.0,504.0,536.0,467.0,533.0,497.0,470.0,592.0,422.0,544.0,496.0,470.0,556.0,452.0,530.0,541.0,516.0,546.0,418.0,482.0,511.0,541.0,568.0,504.0,524.0,602.0,522.0,586.0,556.0,464.0,538.0,522.0,628.0,530.0,554.0,537.0,552.0,633.0,512.0,422.0,464.0,470.0,462.0,632.0,568.0,557.0,482.0,544.0,666.0
BEL,599.0,543.0,591.0,588.0,533.0,0.0,695.0,645.0,578.0,715.0,569.0,702.0,653.0,643.0,703.0,591.0,585.0,599.0,621.0,671.0,655.0,607.0,577.0,625.0,653.0,741.0,471.0,607.0,577.0,653.0,691.0,641.0,639.0,612.0,659.0,576.0,651.0,611.0,563.0,529.0,607.0,611.0,605.0,612.0,655.0,629.0,567.0,593.0,574.0,551.0,583.0,572.0,581.0,617.0,635.0,599.0,667.0,641.0,655.0,683.0,657.0,697.0,533.0,622.0,733.0,446.0,621.0,541.0,627.0,555.0,605.0,645.0,599.0,620.0,627.0,563.0,777.0
BGR,494.0,466.0,450.0,537.0,562.0,695.0,0.0,560.0,603.0,538.0,448.0,673.0,488.0,546.0,556.0,664.0,539.0,556.0,567.0,498.0,400.0,500.0,617.0,506.0,642.0,594.0,568.0,704.0,474.0,472.0,520.0,549.0,495.0,471.0,446.0,622.0,456.0,608.0,592.0,576.0,586.0,410.0,584.0,467.0,552.0,554.0,494.0,518.0,621.0,725.0,659.0,665.0,418.0,402.0,578.0,582.0,654.0,550.0,460.0,718.0,594.0,504.0,506.0,481.0,474.0,777.0,442.0,456.0,430.0,430.0,612.0,662.0,634.0,551.0,370.0,616.0,560.0
BIH,596.0,588.0,560.0,711.0,668.0,645.0,560.0,0.0,623.0,562.0,562.0,709.0,600.0,562.0,544.0,662.0,475.0,624.0,543.0,678.0,526.0,522.0,609.0,566.0,720.0,554.0,567.0,674.0,518.0,650.0,616.0,595.0,577.0,485.0,522.0,647.0,526.0,680.0,572.0,522.0,502.0,568.0,662.0,469.0,613.0,586.0,591.0,507.0,601.0,608.0,652.0,660.0,438.0,460.0,610.0,572.0,586.0,428.0,568.0,664.0,571.0,552.0,630.0,481.0,642.0,733.0,518.0,528.0,454.0,626.0,620.0,656.0,544.0,549.0,568.0,734.0,664.0
BLR,593.0,573.0,473.0,542.0,593.0,578.0,603.0,623.0,0.0,681.0,507.0,646.0,557.0,703.0,569.0,631.0,575.0,615.0,559.0,525.0,621.0,485.0,653.0,647.0,605.0,557.0,587.0,581.0,599.0,631.0,585.0,521.0,574.0,610.0,609.0,630.0,505.0,627.0,485.0,531.0,495.0,461.0,667.0,564.0,557.0,587.0,543.0,517.0,702.0,633.0,619.0,609.0,555.0,585.0,641.0,661.0,741.0,581.0,535.0,717.0,537.0,519.0,473.0,526.0,601.0,626.0,503.0,585.0,581.0,537.0,513.0,631.0,613.0,502.0,645.0,585.0,615.0
BRA,716.0,632.0,526.0,617.0,642.0,715.0,538.0,562.0,681.0,0.0,594.0,663.0,528.0,496.0,668.0,804.0,632.0,626.0,616.0,612.0,608.0,616.0,662.0,608.0,556.0,610.0,650.0,658.0,588.0,556.0,566.0,594.0,686.0,565.0,530.0,675.0,522.0,544.0,728.0,614.0,646.0,592.0,694.0,599.0,676.0,570.0,666.0,650.0,597.0,700.0,650.0,546.0,500.0,498.0,486.0,668.0,612.0,530.0,604.0,706.0,522.0,636.0,596.0,619.0,524.0,698.0,624.0,584.0,562.0,596.0,652.0,634.0,736.0,679.0,594.0,808.0,740.0
BRN,470.0,484.0,486.0,443.0,500.0,569.0,448.0,562.0,507.0,594.0,0.0,721.0,442.0,604.0,492.0,684.0,465.0,546.0,567.0,502.0,488.0,506.0,629.0,554.0,628.0,514.0,453.0,646.0,492.0,524.0,528.0,521.0,404.0,479.0,598.0,642.0,494.0,612.0,496.0,532.0,580.0,444.0,592.0,497.0,445.0,468.0,447.0,495.0,629.0,634.0,629.0,641.0,494.0,494.0,500.0,572.0,626.0,496.0,484.0,652.0,577.0,508.0,550.0,499.0,558.0,679.0,456.0,466.0,442.0,400.0,542.0,604.0,426.0,569.0,542.0,590.0,684.0
CAN,721.0,565.0,659.0,698.0,661.0,702.0,673.0,709.0,646.0,663.0,721.0,0.0,623.0,615.0,617.0,663.0,589.0,655.0,627.0,695.0,599.0,539.0,599.0,571.0,581.0,689.0,707.0,505.0,647.0,635.0,571.0,651.0,687.0,636.0,679.0,624.0,647.0,671.0,753.0,663.0,605.0,675.0,701.0,852.0,721.0,703.0,779.0,645.0,772.0,583.0,647.0,603.0,673.0,573.0,729.0,573.0,613.0,571.0,703.0,589.0,713.0,729.0,589.0,608.0,643.0,679.0,611.0,771.0,689.0,671.0,621.0,623.0,721.0,592.0,769.0,725.0,833.0
CHE,562.0,462.0,478.0,381.0,390.0,653.0,488.0,600.0,557.0,528.0,442.0,623.0,0.0,456.0,506.0,670.0,469.0,456.0,423.0,486.0,424.0,472.0,657.0,504.0,556.0,484.0,482.0,550.0,504.0,456.0,466.0,491.0,485.0,495.0,438.0,586.0,458.0,550.0,492.0,496.0,520.0,360.0,594.0,545.0,426.0,506.0,448.0,468.0,565.0,583.0,547.0,461.0,464.0,512.0,530.0,590.0,564.0,454.0,530.0,628.0,568.0,606.0,464.0,587.0,434.0,621.0,504.0,460.0,454.0,466.0,536.0,588.0,570.0,575.0,508.0,604.0,646.0
CHL,570.0,542.0,638.0,549.0,500.0,643.0,546.0,562.0,703.0,496.0,604.0,615.0,456.0,0.0,548.0,684.0,526.0,620.0,474.0,588.0,580.0,512.0,598.0,564.0,570.0,582.0,514.0,560.0,546.0,586.0,516.0,572.0,598.0,507.0,520.0,583.0,566.0,580.0,604.0,580.0,512.0,590.0,674.0,623.0,600.0,530.0,614.0,572.0,613.0,488.0,558.0,552.0,556.0,550.0,598.0,572.0,648.0,524.0,516.0,702.0,640.0,608.0,606.0,585.0,486.0,622.0,548.0,438.0,518.0,524.0,574.0,570.0,614.0,567.0,574.0,674.0,672.0
COL,474.0,516.0,480.0,607.0,456.0,703.0,556.0,544.0,569.0,668.0,492.0,617.0,506.0,548.0,0.0,518.0,454.0,558.0,510.0,588.0,474.0,438.0,588.0,480.0,588.0,508.0,531.0,700.0,468.0,596.0,424.0,474.0,553.0,469.0,570.0,576.0,458.0,628.0,582.0,530.0,556.0,424.0,582.0,503.0,519.0,586.0,491.0,503.0,603.0,666.0,629.0,667.0,514.0,608.0,586.0,570.0,556.0,474.0,476.0,640.0,611.0,548.0,652.0,499.0,594.0,750.0,402.0,508.0,480.0,484.0,492.0,574.0,502.0,497.0,550.0,662.0,606.0
