,ALB,ARE,ARG,AUS,AUT,BEL,BGR,BIH,BLR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CZE,DEU,DNK,DOM,ESP,EST,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IRL,ISL,ITA,JOR,JPN,KAZ,KOR,KSV,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNE,MYS,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,QAT,QAZ,QCI,QMR,QRT,ROU,RUS,SAU,SGP,SRB,SVK,SVN,SWE,TAP,THA,TUR,UKR,URY,USA,VNM
ALB,0.0,474.0,544.0,447.0,460.0,531.0,511.0,484.0,615.0,520.0,498.0,695.0,460.0,418.0,434.0,432.0,541.0,492.0,408.0,548.0,558.0,556.0,577.0,576.0,530.0,528.0,517.0,628.0,522.0,454.0,544.0,424.0,480.0,525.0,594.0,597.0,486.0,558.0,642.0,501.0,546.0,418.0,572.0,515.0,624.0,544.0,496.0,531.0,505.0,571.0,576.0,480.0,438.0,532.0,516.0,558.0,560.0,460.0,480.0,506.0,654.0,522.0,468.0,497.0,434.0,526.0,512.0,479.0,504.0,614.0,422.0,516.0,444.0,587.0,466.0,582.0,650.0
ARE,474.0,0.0,348.0,351.0,414.0,427.0,358.0,424.0,499.0,416.0,478.0,555.0,370.0,374.0,346.0,554.0,518.0,444.0,412.0,400.0,364.0,504.0,470.0,508.0,338.0,500.0,378.0,602.0,466.0,430.0,456.0,434.0,398.0,395.0,400.0,485.0,386.0,470.0,532.0,436.0,494.0,408.0,540.0,399.0,614.0,314.0,434.0,428.0,403.0,542.0,582.0,434.0,418.0,434.0,394.0,460.0,534.0,388.0,428.0,362.0,538.0,392.0,500.0,351.0,304.0,498.0,372.0,474.0,454.0,466.0,486.0,442.0,380.0,561.0,434.0,530.0,686.0
ARG,544.0,348.0,0.0,405.0,430.0,459.0,353.0,420.0,503.0,356.0,374.0,561.0,374.0,434.0,430.0,596.0,421.0,406.0,466.0,344.0,360.0,442.0,493.0,450.0,440.0,522.0,371.0,602.0,448.0,406.0,414.0,434.0,308.0,411.0,472.0,549.0,344.0,484.0,524.0,413.0,498.0,418.0,450.0,379.0,562.0,402.0,474.0,385.0,437.0,539.0,618.0,384.0,434.0,368.0,408.0,414.0,496.0,470.0,396.0,456.0,500.0,444.0,470.0,379.0,314.0,534.0,386.0,373.0,364.0,474.0,472.0,438.0,496.0,389.0,436.0,546.0,632.0
AUS,447.0,351.0,405.0,0.0,405.0,386.0,397.0,407.0,506.0,353.0,455.0,550.0,327.0,379.0,405.0,589.0,459.0,463.0,357.0,435.0,393.0,457.0,407.0,479.0,359.0,491.0,367.0,667.0,443.0,425.0,467.0,387.0,407.0,364.0,437.0,532.0,333.0,577.0,511.0,357.0,535.0,401.0,551.0,466.0,505.0,351.0,387.0,419.0,408.0,517.0,584.0,365.0,333.0,531.0,423.0,499.0,577.0,493.0,455.0,433.0,565.0,449.0,483.0,396.0,321.0,481.0,429.0,419.0,455.0,461.0,505.0,465.0,381.0,504.0,445.0,477.0,605.0
AUT,460.0,414.0,430.0,405.0,0.0,437.0,461.0,430.0,461.0,386.0,520.0,603.0,336.0,298.0,376.0,458.0,517.0,462.0,436.0,486.0,428.0,536.0,429.0,476.0,478.0,536.0,393.0,664.0,464.0,396.0,484.0,386.0,430.0,449.0,444.0,525.0,358.0,466.0,434.0,465.0,556.0,432.0,516.0,457.0,542.0,436.0,426.0,405.0,437.0,561.0,604.0,424.0,398.0,460.0,494.0,474.0,516.0,504.0,494.0,468.0,530.0,530.0,420.0,457.0,428.0,482.0,396.0,323.0,366.0,538.0,508.0,496.0,402.0,483.0,404.0,526.0,614.0
BEL,531.0,427.0,459.0,386.0,437.0,0.0,487.0,475.0,538.0,373.0,509.0,676.0,477.0,439.0,417.0,577.0,461.0,469.0,533.0,501.0,499.0,499.0,421.0,549.0,465.0,481.0,309.0,597.0,467.0,445.0,529.0,417.0,541.0,396.0,539.0,548.0,531.0,607.0,539.0,399.0,481.0,455.0,613.0,382.0,583.0,445.0,469.0,471.0,472.0,567.0,632.0,445.0,441.0,553.0,409.0,433.0,599.0,523.0,415.0,425.0,441.0,481.0,481.0,346.0,489.0,467.0,453.0,527.0,475.0,487.0,489.0,461.0,465.0,564.0,423.0,469.0,571.0
BGR,511.0,358.0,353.0,397.0,461.0,487.0,0.0,417.0,571.0,423.0,584.0,615.0,436.0,456.0,397.0,581.0,587.0,541.0,442.0,444.0,342.0,483.0,467.0,480.0,422.0,497.0,468.0,641.0,427.0,397.0,510.0,440.0,372.0,415.0,472.0,592.0,392.0,596.0,539.0,424.0,523.0,425.0,598.0,441.0,576.0,353.0,498.0,392.0,464.0,517.0,633.0,464.0,448.0,496.0,521.0,494.0,512.0,482.0,479.0,440.0,567.0,375.0,485.0,403.0,441.0,552.0,439.0,449.0,394.0,512.0,535.0,547.0,458.0,525.0,433.0,560.0,694.0
BIH,484.0,424.0,420.0,407.0,430.0,475.0,417.0,0.0,561.0,352.0,540.0,519.0,522.0,402.0,368.0,530.0,513.0,506.0,398.0,430.0,436.0,484.0,475.0,492.0,442.0,526.0,419.0,540.0,476.0,482.0,482.0,406.0,410.0,383.0,510.0,535.0,438.0,662.0,592.0,425.0,402.0,450.0,534.0,473.0,574.0,406.0,510.0,413.0,495.0,599.0,644.0,508.0,406.0,534.0,466.0,454.0,602.0,482.0,444.0,404.0,498.0,496.0,458.0,433.0,416.0,580.0,480.0,479.0,396.0,466.0,596.0,534.0,486.0,455.0,480.0,492.0,662.0
BLR,615.0,499.0,503.0,506.0,461.0,538.0,571.0,561.0,0.0,501.0,569.0,572.0,503.0,483.0,443.0,519.0,541.0,465.0,529.0,547.0,531.0,551.0,569.0,491.0,577.0,575.0,489.0,655.0,563.0,491.0,515.0,605.0,533.0,558.0,541.0,530.0,523.0,407.0,577.0,491.0,545.0,537.0,587.0,580.0,583.0,565.0,501.0,561.0,480.0,639.0,515.0,499.0,465.0,579.0,523.0,565.0,539.0,605.0,577.0,485.0,591.0,557.0,507.0,454.0,505.0,517.0,479.0,453.0,399.0,499.0,575.0,533.0,561.0,570.0,473.0,603.0,683.0
BRA,520.0,416.0,356.0,353.0,386.0,373.0,423.0,352.0,501.0,0.0,426.0,553.0,446.0,358.0,354.0,512.0,429.0,388.0,406.0,386.0,408.0,442.0,481.0,416.0,434.0,498.0,301.0,594.0,502.0,432.0,476.0,456.0,416.0,445.0,440.0,535.0,404.0,542.0,502.0,353.0,396.0,464.0,492.0,379.0,552.0,392.0,456.0,347.0,457.0,541.0,657.0,366.0,368.0,420.0,462.0,452.0,594.0,498.0,406.0,404.0,478.0,466.0,472.0,353.0,338.0,504.0,398.0,427.0,408.0,434.0,532.0,452.0,484.0,409.0,402.0,498.0,656.0
BRN,498.0,478.0,374.0,455.0,520.0,509.0,584.0,540.0,569.0,426.0,0.0,689.0,456.0,500.0,540.0,626.0,514.0,530.0,526.0,436.0,534.0,506.0,560.0,572.0,446.0,582.0,408.0,622.0,640.0,444.0,486.0,556.0,460.0,477.0,498.0,579.0,444.0,556.0,610.0,532.0,644.0,482.0,568.0,479.0,616.0,526.0,478.0,532.0,473.0,612.0,633.0,414.0,440.0,426.0,440.0,580.0,610.0,526.0,500.0,520.0,584.0,590.0,510.0,497.0,400.0,542.0,498.0,506.0,532.0,630.0,556.0,434.0,528.0,497.0,442.0,522.0,554.0
CAN,695.0,555.0,561.0,550.0,603.0,676.0,615.0,519.0,572.0,553.0,689.0,0.0,609.0,615.0,521.0,643.0,595.0,605.0,565.0,611.0,601.0,641.0,655.0,609.0,589.0,711.0,611.0,719.0,665.0,667.0,543.0,615.0,627.0,572.0,627.0,564.0,563.0,597.0,611.0,607.0,585.0,637.0,553.0,672.0,635.0,581.0,645.0,585.0,532.0,645.0,617.0,541.0,611.0,617.0,607.0,617.0,555.0,633.0,607.0,619.0,581.0,689.0,649.0,596.0,549.0,543.0,629.0,547.0,589.0,473.0,629.0,617.0,537.0,586.0,683.0,641.0,785.0
CHE,460.0,370.0,374.0,327.0,336.0,477.0,436.0,522.0,503.0,446.0,456.0,609.0,0.0,402.0,430.0,614.0,515.0,478.0,394.0,482.0,470.0,504.0,423.0,460.0,416.0,538.0,432.0,646.0,484.0,406.0,436.0,450.0,394.0,485.0,526.0,505.0,348.0,440.0,508.0,476.0,578.0,426.0,474.0,493.0,530.0,420.0,482.0,488.0,391.0,501.0,557.0,352.0,380.0,492.0,460.0,468.0,438.0,472.0,496.0,524.0,552.0,518.0,472.0,487.0,362.0,440.0,436.0,387.0,426.0,560.0,472.0,502.0,396.0,537.0,454.0,488.0,562.0
CHL,418.0,374.0,434.0,379.0,298.0,439.0,456.0,402.0,483.0,358.0,500.0,615.0,402.0,0.0,378.0,456.0,496.0,492.0,330.0,452.0,460.0,526.0,462.0,472.0,448.0,496.0,420.0,638.0,532.0,362.0,488.0,402.0,386.0,503.0,494.0,551.0,392.0,416.0,592.0,440.0,500.0,482.0,498.0,419.0,562.0,430.0,342.0,468.0,487.0,524.0,524.0,474.0,442.0,462.0,526.0,444.0,504.0,484.0,438.0,434.0,610.0,546.0,406.0,409.0,360.0,458.0,442.0,438.0,444.0,524.0,478.0,504.0,418.0,513.0,394.0,486.0,658.0
COL,434.0,346.0,430.0,405.0,376.0,417.0,397.0,368.0,443.0,354.0,540.0,521.0,430.0,378.0,0.0,458.0,451.0,460.0,392.0,466.0,390.0,518.0,441.0,484.0,406.0,512.0,411.0,640.0,472.0,436.0,480.0,400.0,456.0,403.0,510.0,555.0,398.0,492.0,518.0,407.0,484.0,498.0,582.0,423.0,630.0,370.0,462.0,383.0,399.0,551.0,566.0,422.0,382.0,446.0,418.0,474.0,534.0,390.0,434.0,422.0,532.0,444.0,442.0,427.0,356.0,518.0,380.0,455.0,358.0,446.0,548.0,482.0,426.0,503.0,462.0,480.0,688.0
CRI,432.0,554.0,596.0,589.0,458.0,577.0,581.0,530.0,519.0,512.0,626.0,643.0,614.0,456.0,458.0,0.0,521.0,580.0,472.0,626.0,588.0,590.0,511.0,562.0,642.0,608.0,627.0,662.0,538.0,550.0,508.0,492.0,564.0,653.0,692.0,525.0,546.0,556.0,682.0,519.0,524.0,554.0,630.0,541.0,684.0,618.0,540.0,579.0,561.0,575.0,526.0,598.0,566.0,590.0,618.0,490.0,622.0,516.0,524.0,500.0,674.0,590.0,504.0,545.0,534.0,586.0,564.0,547.0,520.0,476.0,472.0,554.0,532.0,581.0,532.0,582.0,772.0
CZE,541.0,518.0,421.0,459.0,517.0,461.0,587.0,513.0,541.0,429.0,514.0,595.0,515.0,496.0,451.0,521.0,0.0,466.0,455.0,506.0,497.0,541.0,422.0,537.0,562.0,503.0,449.0,549.0,479.0,511.0,498.0,445.0,538.0,533.0,674.0,522.0,490.0,492.0,569.0,461.0,518.0,542.0,501.0,489.0,600.0,574.0,550.0,585.0,480.0,540.0,684.0,532.0,480.0,500.0,445.0,426.0,575.0,532.0,559.0,442.0,569.0,573.0,447.0,395.0,389.0,606.0,479.0,480.0,500.0,380.0,475.0,475.0,486.0,471.0,579.0,451.0,598.0
DEU,492.0,444.0,406.0,463.0,462.0,469.0,541.0,506.0,465.0,388.0,530.0,605.0,478.0,492.0,460.0,580.0,466.0,0.0,528.0,358.0,456.0,470.0,652.0,498.0,556.0,416.0,433.0,678.0,500.0,518.0,496.0,522.0,530.0,483.0,492.0,593.0,466.0,600.0,568.0,369.0,444.0,424.0,596.0,431.0,530.0,494.0,490.0,479.0,463.0,632.0,721.0,448.0,356.0,428.0,488.0,516.0,534.0,490.0,394.0,502.0,496.0,478.0,578.0,491.0,466.0,558.0,414.0,486.0,452.0,506.0,514.0,602.0,590.0,515.0,412.0,542.0,666.0
DNK,408.0,412.0,466.0,357.0,436.0,533.0,442.0,398.0,529.0,406.0,526.0,565.0,394.0,330.0,392.0,472.0,455.0,528.0,0.0,528.0,482.0,462.0,407.0,568.0,422.0,520.0,458.0,560.0,494.0,394.0,470.0,404.0,410.0,499.0,576.0,565.0,336.0,490.0,574.0,448.0,532.0,470.0,530.0,575.0,554.0,454.0,376.0,410.0,445.0,513.0,607.0,484.0,410.0,548.0,536.0,482.0,494.0,392.0,532.0,360.0,568.0,514.0,374.0,507.0,332.0,528.0,464.0,473.0,422.0,482.0,482.0,538.0,406.0,511.0,492.0,498.0,732.0
DOM,548.0,400.0,344.0,435.0,486.0,501.0,444.0,430.0,547.0,386.0,436.0,611.0,482.0,452.0,466.0,626.0,506.0,358.0,528.0,0.0,410.0,436.0,588.0,534.0,436.0,416.0,448.0,590.0,514.0,386.0,388.0,576.0,412.0,445.0,404.0,651.0,386.0,592.0,504.0,456.0,500.0,364.0,634.0,421.0,554.0,458.0,438.0,482.0,409.0,610.0,771.0,512.0,352.0,366.0,468.0,550.0,554.0,420.0,444.0,548.0,546.0,470.0,528.0,433.0,378.0,652.0,490.0,532.0,448.0,578.0,546.0,586.0,558.0,501.0,420.0,516.0,580.0
ESP,558.0,364.0,360.0,393.0,428.0,499.0,342.0,436.0,531.0,408.0,534.0,601.0,470.0,460.0,390.0,588.0,497.0,456.0,482.0,410.0,0.0,528.0,521.0,458.0,418.0,514.0,422.0,614.0,476.0,430.0,454.0,504.0,370.0,403.0,498.0,603.0,368.0,578.0,458.0,388.0,544.0,460.0,582.0,435.0,592.0,364.0,478.0,428.0,485.0,567.0,688.0,494.0,478.0,448.0,554.0,470.0,544.0,446.0,564.0,414.0,614.0,390.0,522.0,399.0,398.0,556.0,436.0,411.0,426.0,466.0,584.0,560.0,500.0,501.0,478.0,532.0,542.0
EST,556.0,504.0,442.0,457.0,536.0,499.0,483.0,484.0,551.0,442.0,506.0,641.0,504.0,526.0,518.0,590.0,541.0,470.0,462.0,436.0,528.0,0.0,519.0,622.0,470.0,478.0,465.0,534.0,482.0,406.0,482.0,502.0,446.0,503.0,514.0,483.0,472.0,572.0,568.0,509.0,518.0,432.0,582.0,571.0,636.0,524.0,364.0,449.0,413.0,465.0,619.0,490.0,450.0,540.0,488.0,600.0,754.0,422.0,460.0,528.0,518.0,500.0,462.0,545.0,446.0,558.0,462.0,519.0,510.0,540.0,472.0,552.0,566.0,561.0,562.0,484.0,592.0
