Country1,Country2,Footrule
ALB,ARE,482.0
ALB,ARG,528.0
ALB,AUS,547.0
ALB,AUT,542.0
ALB,BEL,617.0
ALB,BGR,472.0
ALB,BIH,510.0
ALB,BLR,665.0
ALB,BRA,566.0
ALB,BRN,562.0
ALB,CAN,609.0
ALB,CHE,556.0
ALB,CHL,576.0
ALB,COL,476.0
ALB,CRI,572.0
ALB,CZE,540.0
ALB,DEU,674.0
ALB,DNK,420.0
ALB,DOM,534.0
ALB,ESP,486.0
ALB,EST,552.0
ALB,FIN,487.0
ALB,FRA,574.0
ALB,GBR,550.0
ALB,GEO,568.0
ALB,GRC,431.0
ALB,HKG,510.0
ALB,HRV,530.0
ALB,HUN,608.0
ALB,IDN,588.0
ALB,IRL,498.0
ALB,ISL,582.0
ALB,ITA,509.0
ALB,JOR,566.0
ALB,JPN,649.0
ALB,KAZ,446.0
ALB,KOR,675.0
ALB,KSV,578.0
ALB,LTU,572.0
ALB,LUX,514.0
ALB,LVA,518.0
ALB,MAC,658.0
ALB,MAR,529.0
ALB,MDA,558.0
ALB,MEX,524.0
ALB,MLT,592.0
ALB,MNE,501.0
ALB,MYS,483.0
ALB,NLD,542.0
ALB,NOR,606.0
ALB,NZL,504.0
ALB,PAN,568.0
ALB,PER,522.0
ALB,PHL,582.0
ALB,POL,576.0
ALB,PRT,480.0
ALB,QAT,462.0
ALB,QAZ,428.0
ALB,QCI,634.0
ALB,QMR,687.0
ALB,QRT,554.0
ALB,ROU,528.0
ALB,RUS,609.0
ALB,SAU,486.0
ALB,SGP,650.0
ALB,SRB,462.0
ALB,SVK,548.0
ALB,SVN,611.0
ALB,SWE,632.0
ALB,TAP,536.0
ALB,THA,606.0
ALB,TUR,520.0
ALB,UKR,551.0
ALB,URY,554.0
ALB,USA,616.0
ALB,VNM,554.0
ARE,ARG,546.0
ARE,AUS,495.0
ARE,AUT,434.0
ARE,BEL,489.0
ARE,BGR,538.0
ARE,BIH,440.0
ARE,BLR,555.0
ARE,BRA,408.0
ARE,BRN,462.0
ARE,CAN,523.0
ARE,CHE,350.0
ARE,CHL,514.0
ARE,COL,408.0
ARE,CRI,484.0
ARE,CZE,332.0
ARE,DEU,436.0
ARE,DNK,402.0
ARE,DOM,512.0
ARE,ESP,396.0
ARE,EST,428.0
ARE,FIN,460.0
ARE,FRA,382.0
ARE,GBR,408.0
ARE,GEO,430.0
ARE,GRC,424.0
ARE,HKG,522.0
ARE,HRV,422.0
ARE,HUN,422.0
ARE,IDN,556.0
ARE,IRL,432.0
ARE,ISL,460.0
ARE,ITA,445.0
ARE,JOR,442.0
ARE,JPN,557.0
ARE,KAZ,318.0
ARE,KOR,588.0
ARE,KSV,546.0
ARE,LTU,374.0
ARE,LUX,488.0
ARE,LVA,426.0
ARE,MAC,598.0
ARE,MAR,485.0
ARE,MDA,476.0
ARE,MEX,450.0
ARE,MLT,482.0
ARE,MNE,396.0
ARE,MYS,417.0
ARE,NLD,490.0
ARE,NOR,490.0
ARE,NZL,476.0
ARE,PAN,388.0
ARE,PER,492.0
ARE,PHL,390.0
ARE,POL,378.0
ARE,PRT,396.0
ARE,QAT,300.0
ARE,QAZ,466.0
ARE,QCI,536.0
ARE,QMR,542.0
ARE,QRT,454.0
ARE,ROU,398.0
ARE,RUS,419.0
ARE,SAU,434.0
ARE,SGP,526.0
ARE,SRB,406.0
ARE,SVK,564.0
ARE,SVN,448.0
ARE,SWE,486.0
ARE,TAP,560.0
ARE,THA,478.0
ARE,TUR,368.0
ARE,UKR,455.0
ARE,URY,422.0
ARE,USA,476.0
ARE,VNM,654.0
ARG,AUS,489.0
ARG,AUT,528.0
ARG,BEL,573.0
ARG,BGR,394.0
ARG,BIH,506.0
ARG,BLR,489.0
ARG,BRA,522.0
ARG,BRN,488.0
ARG,CAN,697.0
ARG,CHE,438.0
ARG,CHL,416.0
