Country1,Country2,Footrule
ALB,ARE,408.0
ALB,ARG,560.0
ALB,AUS,479.0
ALB,AUT,458.0
ALB,BEL,635.0
ALB,BGR,475.0
ALB,BIH,390.0
ALB,BLR,495.0
ALB,BRA,434.0
ALB,BRN,518.0
ALB,CAN,635.0
ALB,CHE,418.0
ALB,CHL,446.0
ALB,COL,524.0
ALB,CRI,560.0
ALB,CZE,496.0
ALB,DEU,644.0
ALB,DNK,416.0
ALB,DOM,586.0
ALB,ESP,550.0
ALB,EST,447.0
ALB,FIN,569.0
ALB,FRA,514.0
ALB,GBR,476.0
ALB,GEO,556.0
ALB,GRC,529.0
ALB,HKG,498.0
ALB,HRV,490.0
ALB,HUN,534.0
ALB,IDN,528.0
ALB,IRL,436.0
ALB,ISL,410.0
ALB,ITA,551.0
ALB,JOR,560.0
ALB,JPN,443.0
ALB,KAZ,532.0
ALB,KOR,679.0
ALB,KSV,594.0
ALB,LTU,500.0
ALB,LUX,520.0
ALB,LVA,488.0
ALB,MAC,590.0
ALB,MAR,605.0
ALB,MDA,500.0
ALB,MEX,490.0
ALB,MLT,536.0
ALB,MNE,466.0
ALB,MYS,583.0
ALB,NLD,552.0
ALB,NOR,616.0
ALB,NZL,566.0
ALB,PAN,626.0
ALB,PER,532.0
ALB,PHL,630.0
ALB,POL,428.0
ALB,PRT,534.0
ALB,QAT,498.0
ALB,QAZ,540.0
ALB,QCI,524.0
ALB,QMR,443.0
ALB,QRT,482.0
ALB,ROU,452.0
ALB,RUS,521.0
ALB,SAU,598.0
ALB,SGP,558.0
ALB,SRB,462.0
ALB,SVK,404.0
ALB,SVN,467.0
ALB,SWE,480.0
ALB,TAP,434.0
ALB,THA,590.0
ALB,TUR,498.0
ALB,UKR,447.0
ALB,URY,504.0
ALB,USA,553.0
ALB,VNM,686.0
ARE,ARG,534.0
ARE,AUS,519.0
ARE,AUT,434.0
ARE,BEL,615.0
ARE,BGR,425.0
ARE,BIH,468.0
ARE,BLR,469.0
ARE,BRA,482.0
ARE,BRN,414.0
ARE,CAN,531.0
ARE,CHE,386.0
ARE,CHL,452.0
ARE,COL,560.0
ARE,CRI,650.0
ARE,CZE,462.0
ARE,DEU,662.0
ARE,DNK,434.0
ARE,DOM,392.0
ARE,ESP,502.0
ARE,EST,521.0
ARE,FIN,485.0
ARE,FRA,504.0
ARE,GBR,458.0
ARE,GEO,444.0
ARE,GRC,475.0
ARE,HKG,562.0
ARE,HRV,448.0
ARE,HUN,442.0
ARE,IDN,470.0
ARE,IRL,492.0
ARE,ISL,446.0
ARE,ITA,453.0
ARE,JOR,470.0
ARE,JPN,543.0
ARE,KAZ,458.0
ARE,KOR,723.0
ARE,KSV,568.0
ARE,LTU,368.0
ARE,LUX,486.0
ARE,LVA,440.0
ARE,MAC,542.0
ARE,MAR,481.0
ARE,MDA,436.0
ARE,MEX,438.0
ARE,MLT,536.0
ARE,MNE,416.0
ARE,MYS,477.0
ARE,NLD,522.0
ARE,NOR,567.0
ARE,NZL,586.0
ARE,PAN,500.0
ARE,PER,452.0
ARE,PHL,516.0
ARE,POL,514.0
ARE,PRT,504.0
ARE,QAT,334.0
ARE,QAZ,568.0
ARE,QCI,506.0
ARE,QMR,503.0
ARE,QRT,458.0
ARE,ROU,392.0
ARE,RUS,445.0
ARE,SAU,542.0
ARE,SGP,466.0
ARE,SRB,366.0
ARE,SVK,472.0
ARE,SVN,425.0
ARE,SWE,474.0
ARE,TAP,438.0
ARE,THA,584.0
ARE,TUR,552.0
ARE,UKR,391.0
ARE,URY,498.0
ARE,USA,499.0
ARE,VNM,722.0
ARG,AUS,515.0
ARG,AUT,458.0
ARG,BEL,539.0
ARG,BGR,568.0
ARG,BIH,520.0
ARG,BLR,603.0
ARG,BRA,480.0
ARG,BRN,480.0
ARG,CAN,647.0
ARG,CHE,522.0
ARG,CHL,438.0
ARG,COL,542.0
ARG,CRI,446.0
ARG,CZE,416.0
ARG,DEU,460.0
ARG,DNK,530.0
ARG,DOM,548.0
ARG,ESP,416.0
ARG,EST,458.0
ARG,FIN,572.0
ARG,FRA,524.0
ARG,GBR,502.0
ARG,GEO,614.0
ARG,GRC,574.0
ARG,HKG,542.0
ARG,HRV,462.0
ARG,HUN,500.0
ARG,IDN,474.0
ARG,IRL,460.0
ARG,ISL,552.0
ARG,ITA,399.0
ARG,JOR,492.0
ARG,JPN,565.0
ARG,KAZ,564.0
ARG,KOR,718.0
ARG,KSV,612.0
ARG,LTU,514.0
ARG,LUX,508.0
ARG,LVA,630.0
ARG,MAC,668.0
ARG,MAR,515.0
ARG,MDA,554.0
ARG,MEX,474.0
ARG,MLT,628.0
ARG,MNE,564.0
ARG,MYS,601.0
ARG,NLD,510.0
ARG,NOR,576.0
ARG,NZL,540.0
ARG,PAN,456.0
ARG,PER,504.0
ARG,PHL,616.0
ARG,POL,520.0
ARG,PRT,498.0
ARG,QAT,476.0
ARG,QAZ,640.0
ARG,QCI,478.0
ARG,QMR,584.0
ARG,QRT,520.0
ARG,ROU,538.0
ARG,RUS,525.0
ARG,SAU,560.0
ARG,SGP,464.0
ARG,SRB,538.0
ARG,SVK,596.0
ARG,SVN,594.0
ARG,SWE,466.0
ARG,TAP,564.0
ARG,THA,584.0
ARG,TUR,676.0
ARG,UKR,535.0
ARG,URY,490.0
ARG,USA,620.0
ARG,VNM,592.0
AUS,AUT,391.0
AUS,BEL,536.0
AUS,BGR,421.0
AUS,BIH,393.0
AUS,BLR,490.0
AUS,BRA,385.0
AUS,BRN,499.0
AUS,CAN,550.0
AUS,CHE,445.0
AUS,CHL,457.0
AUS,COL,387.0
AUS,CRI,571.0
AUS,CZE,365.0
AUS,DEU,429.0
AUS,DNK,491.0
AUS,DOM,525.0
AUS,ESP,491.0
AUS,EST,439.0
AUS,FIN,451.0
AUS,FRA,547.0
AUS,GBR,443.0
AUS,GEO,557.0
AUS,GRC,407.0
AUS,HKG,513.0
AUS,HRV,513.0
AUS,HUN,469.0
AUS,IDN,369.0
AUS,IRL,423.0
AUS,ISL,473.0
AUS,ITA,372.0
AUS,JOR,435.0
AUS,JPN,558.0
AUS,KAZ,481.0
AUS,KOR,619.0
AUS,KSV,589.0
AUS,LTU,473.0
AUS,LUX,403.0
AUS,LVA,449.0
AUS,MAC,633.0
AUS,MAR,410.0
AUS,MDA,493.0
AUS,MEX,425.0
AUS,MLT,503.0
AUS,MNE,463.0
AUS,MYS,528.0
AUS,NLD,443.0
AUS,NOR,519.0
AUS,NZL,409.0
AUS,PAN,547.0
AUS,PER,441.0
AUS,PHL,529.0
AUS,POL,377.0
AUS,PRT,471.0
AUS,QAT,563.0
AUS,QAZ,455.0
AUS,QCI,585.0
AUS,QMR,523.0
AUS,QRT,453.0
AUS,ROU,587.0
AUS,RUS,488.0
AUS,SAU,523.0
AUS,SGP,353.0
AUS,SRB,481.0
AUS,SVK,529.0
AUS,SVN,459.0
AUS,SWE,359.0
AUS,TAP,563.0
AUS,THA,583.0
AUS,TUR,529.0
AUS,UKR,432.0
AUS,URY,377.0
AUS,USA,513.0
AUS,VNM,537.0
AUT,BEL,565.0
AUT,BGR,512.0
AUT,BIH,426.0
AUT,BLR,485.0
AUT,BRA,316.0
AUT,BRN,452.0
AUT,CAN,547.0
AUT,CHE,486.0
AUT,CHL,486.0
AUT,COL,472.0
AUT,CRI,526.0
AUT,CZE,388.0
AUT,DEU,548.0
AUT,DNK,522.0
AUT,DOM,506.0
AUT,ESP,420.0
AUT,EST,438.0
AUT,FIN,578.0
AUT,FRA,502.0
AUT,GBR,444.0
AUT,GEO,622.0
AUT,GRC,500.0
AUT,HKG,560.0
AUT,HRV,486.0
AUT,HUN,434.0
AUT,IDN,396.0
AUT,IRL,426.0
AUT,ISL,484.0
AUT,ITA,461.0
AUT,JOR,466.0
AUT,JPN,581.0
AUT,KAZ,498.0
AUT,KOR,670.0
AUT,KSV,578.0
AUT,LTU,358.0
AUT,LUX,456.0
AUT,LVA,440.0
AUT,MAC,652.0
AUT,MAR,493.0
AUT,MDA,490.0
AUT,MEX,404.0
AUT,MLT,512.0
AUT,MNE,426.0
AUT,MYS,535.0
AUT,NLD,410.0
AUT,NOR,600.0
AUT,NZL,422.0
AUT,PAN,590.0
AUT,PER,398.0
AUT,PHL,536.0
AUT,POL,356.0
AUT,PRT,476.0
AUT,QAT,552.0
AUT,QAZ,572.0
AUT,QCI,596.0
AUT,QMR,562.0
AUT,QRT,500.0
AUT,ROU,548.0
AUT,RUS,509.0
AUT,SAU,520.0
AUT,SGP,406.0
AUT,SRB,456.0
AUT,SVK,560.0
AUT,SVN,420.0
AUT,SWE,410.0
AUT,TAP,550.0
AUT,THA,536.0
AUT,TUR,530.0
AUT,UKR,403.0
AUT,URY,394.0
AUT,USA,508.0
AUT,VNM,690.0
BEL,BGR,591.0
BEL,BIH,581.0
BEL,BLR,648.0
BEL,BRA,533.0
BEL,BRN,563.0
BEL,CAN,590.0
BEL,CHE,559.0
BEL,CHL,563.0
BEL,COL,553.0
BEL,CRI,427.0
BEL,CZE,569.0
BEL,DEU,649.0
BEL,DNK,637.0
BEL,DOM,533.0
