Country1,Country2,Footrule
ALB,ARE,416.0
ALB,ARG,482.0
ALB,AUS,523.0
ALB,AUT,472.0
ALB,BEL,599.0
ALB,BGR,494.0
ALB,BIH,596.0
ALB,BLR,593.0
ALB,BRA,716.0
ALB,BRN,470.0
ALB,CAN,721.0
ALB,CHE,562.0
ALB,CHL,570.0
ALB,COL,474.0
ALB,CRI,518.0
ALB,CZE,413.0
ALB,DEU,552.0
ALB,DNK,539.0
ALB,DOM,460.0
ALB,ESP,428.0
ALB,EST,458.0
ALB,FIN,609.0
ALB,FRA,600.0
ALB,GBR,640.0
ALB,GEO,466.0
ALB,GRC,443.0
ALB,HKG,596.0
ALB,HRV,494.0
ALB,HUN,582.0
ALB,IDN,550.0
ALB,IRL,417.0
ALB,ISL,452.0
ALB,ITA,435.0
ALB,JOR,426.0
ALB,JPN,622.0
ALB,KAZ,452.0
ALB,KOR,564.0
ALB,KSV,452.0
ALB,LTU,408.0
ALB,LUX,588.0
ALB,LVA,450.0
ALB,MAC,550.0
ALB,MAR,455.0
ALB,MDA,511.0
ALB,MEX,458.0
ALB,MLT,433.0
ALB,MNE,419.0
ALB,MYS,569.0
ALB,NLD,582.0
ALB,NOR,603.0
ALB,NZL,659.0
ALB,PAN,562.0
ALB,PER,556.0
ALB,PHL,592.0
ALB,POL,492.0
ALB,PRT,552.0
ALB,QAT,474.0
ALB,QAZ,420.0
ALB,QCI,590.0
ALB,QMR,599.0
ALB,QRT,458.0
ALB,ROU,588.0
ALB,RUS,445.0
ALB,SAU,518.0
ALB,SGP,645.0
ALB,SRB,408.0
ALB,SVK,454.0
ALB,SVN,446.0
ALB,SWE,452.0
ALB,TAP,470.0
ALB,THA,522.0
ALB,TUR,524.0
ALB,UKR,611.0
ALB,URY,484.0
ALB,USA,610.0
ALB,VNM,582.0
ARE,ARG,488.0
ARE,AUS,465.0
ARE,AUT,468.0
ARE,BEL,543.0
ARE,BGR,466.0
ARE,BIH,588.0
ARE,BLR,573.0
ARE,BRA,632.0
ARE,BRN,484.0
ARE,CAN,565.0
ARE,CHE,462.0
ARE,CHL,542.0
ARE,COL,516.0
ARE,CRI,610.0
ARE,CZE,401.0
ARE,DEU,508.0
ARE,DNK,417.0
ARE,DOM,554.0
ARE,ESP,332.0
ARE,EST,470.0
ARE,FIN,569.0
ARE,FRA,576.0
ARE,GBR,562.0
ARE,GEO,500.0
ARE,GRC,504.0
ARE,HKG,528.0
ARE,HRV,448.0
ARE,HUN,498.0
ARE,IDN,438.0
ARE,IRL,419.0
ARE,ISL,499.0
ARE,ITA,329.0
ARE,JOR,454.0
ARE,JPN,542.0
ARE,KAZ,430.0
ARE,KOR,622.0
ARE,KSV,496.0
ARE,LTU,472.0
ARE,LUX,476.0
ARE,LVA,470.0
ARE,MAC,548.0
ARE,MAR,539.0
ARE,MDA,538.0
ARE,MEX,534.0
ARE,MLT,494.0
ARE,MNE,472.0
ARE,MYS,617.0
ARE,NLD,497.0
ARE,NOR,544.0
ARE,NZL,399.0
ARE,PAN,552.0
ARE,PER,476.0
ARE,PHL,630.0
ARE,POL,430.0
ARE,PRT,530.0
ARE,QAT,438.0
ARE,QAZ,476.0
ARE,QCI,646.0
ARE,QMR,602.0
ARE,QRT,592.0
ARE,ROU,500.0
ARE,RUS,505.0
ARE,SAU,516.0
ARE,SGP,583.0
ARE,SRB,364.0
ARE,SVK,496.0
ARE,SVN,462.0
ARE,SWE,490.0
ARE,TAP,574.0
ARE,THA,516.0
ARE,TUR,610.0
ARE,UKR,485.0
ARE,URY,462.0
ARE,USA,608.0
ARE,VNM,644.0
ARG,AUS,517.0
ARG,AUT,464.0
ARG,BEL,591.0
ARG,BGR,450.0
ARG,BIH,560.0
ARG,BLR,473.0
ARG,BRA,526.0
ARG,BRN,486.0
ARG,CAN,659.0
ARG,CHE,478.0
ARG,CHL,638.0
ARG,COL,480.0
ARG,CRI,580.0
ARG,CZE,446.0
ARG,DEU,464.0
ARG,DNK,516.0
ARG,DOM,430.0
ARG,ESP,458.0
ARG,EST,484.0
ARG,FIN,584.0
ARG,FRA,462.0
ARG,GBR,576.0
ARG,GEO,460.0
ARG,GRC,557.0
ARG,HKG,628.0
ARG,HRV,520.0
ARG,HUN,566.0
ARG,IDN,502.0
ARG,IRL,366.0
ARG,ISL,562.0
ARG,ITA,487.0
ARG,JOR,418.0
ARG,JPN,557.0
ARG,KAZ,450.0
ARG,KOR,422.0
ARG,KSV,528.0
ARG,LTU,414.0
ARG,LUX,594.0
ARG,LVA,320.0
ARG,MAC,474.0
ARG,MAR,519.0
ARG,MDA,603.0
ARG,MEX,536.0
ARG,MLT,449.0
ARG,MNE,505.0
ARG,MYS,539.0
ARG,NLD,644.0
ARG,NOR,590.0
ARG,NZL,536.0
ARG,PAN,470.0
ARG,PER,528.0
ARG,PHL,620.0
ARG,POL,510.0
ARG,PRT,628.0
ARG,QAT,450.0
ARG,QAZ,482.0
ARG,QCI,566.0
ARG,QMR,415.0
ARG,QRT,614.0
ARG,ROU,520.0
ARG,RUS,511.0
ARG,SAU,566.0
ARG,SGP,585.0
ARG,SRB,502.0
ARG,SVK,508.0
ARG,SVN,484.0
ARG,SWE,476.0
ARG,TAP,474.0
ARG,THA,654.0
ARG,TUR,572.0
ARG,UKR,557.0
ARG,URY,524.0
ARG,USA,646.0
ARG,VNM,644.0
AUS,AUT,517.0
AUS,BEL,588.0
AUS,BGR,537.0
AUS,BIH,711.0
AUS,BLR,542.0
AUS,BRA,617.0
AUS,BRN,443.0
AUS,CAN,698.0
AUS,CHE,381.0
AUS,CHL,549.0
AUS,COL,607.0
AUS,CRI,603.0
AUS,CZE,513.0
AUS,DEU,449.0
AUS,DNK,515.0
AUS,DOM,561.0
AUS,ESP,459.0
AUS,EST,581.0
AUS,FIN,677.0
AUS,FRA,617.0
AUS,GBR,443.0
AUS,GEO,569.0
