Country1,Country2,Footrule
ALB,ARE,474.0
ALB,ARG,544.0
ALB,AUS,447.0
ALB,AUT,460.0
ALB,BEL,531.0
ALB,BGR,511.0
ALB,BIH,484.0
ALB,BLR,615.0
ALB,BRA,520.0
ALB,BRN,498.0
ALB,CAN,695.0
ALB,CHE,460.0
ALB,CHL,418.0
ALB,COL,434.0
ALB,CRI,432.0
ALB,CZE,541.0
ALB,DEU,492.0
ALB,DNK,408.0
ALB,DOM,548.0
ALB,ESP,558.0
ALB,EST,556.0
ALB,FIN,577.0
ALB,FRA,576.0
ALB,GBR,530.0
ALB,GEO,528.0
ALB,GRC,517.0
ALB,HKG,628.0
ALB,HRV,522.0
ALB,HUN,454.0
ALB,IDN,544.0
ALB,IRL,424.0
ALB,ISL,480.0
ALB,ITA,525.0
ALB,JOR,594.0
ALB,JPN,597.0
ALB,KAZ,486.0
ALB,KOR,558.0
ALB,KSV,642.0
ALB,LTU,501.0
ALB,LUX,546.0
ALB,LVA,418.0
ALB,MAC,572.0
ALB,MAR,515.0
ALB,MDA,624.0
ALB,MEX,544.0
ALB,MLT,496.0
ALB,MNE,531.0
ALB,MYS,505.0
ALB,NLD,571.0
ALB,NOR,576.0
ALB,NZL,480.0
ALB,PAN,438.0
ALB,PER,532.0
ALB,PHL,516.0
ALB,POL,558.0
ALB,PRT,560.0
ALB,QAT,460.0
ALB,QAZ,480.0
ALB,QCI,506.0
ALB,QMR,654.0
ALB,QRT,522.0
ALB,ROU,468.0
ALB,RUS,497.0
ALB,SAU,434.0
ALB,SGP,526.0
ALB,SRB,512.0
ALB,SVK,479.0
ALB,SVN,504.0
ALB,SWE,614.0
ALB,TAP,422.0
ALB,THA,516.0
ALB,TUR,444.0
ALB,UKR,587.0
ALB,URY,466.0
ALB,USA,582.0
ALB,VNM,650.0
ARE,ARG,348.0
ARE,AUS,351.0
ARE,AUT,414.0
ARE,BEL,427.0
ARE,BGR,358.0
ARE,BIH,424.0
ARE,BLR,499.0
ARE,BRA,416.0
ARE,BRN,478.0
ARE,CAN,555.0
ARE,CHE,370.0
ARE,CHL,374.0
ARE,COL,346.0
ARE,CRI,554.0
ARE,CZE,518.0
ARE,DEU,444.0
ARE,DNK,412.0
ARE,DOM,400.0
ARE,ESP,364.0
ARE,EST,504.0
ARE,FIN,470.0
ARE,FRA,508.0
ARE,GBR,338.0
ARE,GEO,500.0
ARE,GRC,378.0
ARE,HKG,602.0
ARE,HRV,466.0
ARE,HUN,430.0
ARE,IDN,456.0
ARE,IRL,434.0
ARE,ISL,398.0
ARE,ITA,395.0
ARE,JOR,400.0
ARE,JPN,485.0
ARE,KAZ,386.0
ARE,KOR,470.0
ARE,KSV,532.0
ARE,LTU,436.0
ARE,LUX,494.0
ARE,LVA,408.0
ARE,MAC,540.0
ARE,MAR,399.0
ARE,MDA,614.0
ARE,MEX,314.0
ARE,MLT,434.0
ARE,MNE,428.0
ARE,MYS,403.0
ARE,NLD,542.0
ARE,NOR,582.0
ARE,NZL,434.0
ARE,PAN,418.0
ARE,PER,434.0
ARE,PHL,394.0
ARE,POL,460.0
ARE,PRT,534.0
ARE,QAT,388.0
ARE,QAZ,428.0
ARE,QCI,362.0
ARE,QMR,538.0
ARE,QRT,392.0
ARE,ROU,500.0
ARE,RUS,351.0
ARE,SAU,304.0
ARE,SGP,498.0
ARE,SRB,372.0
ARE,SVK,474.0
ARE,SVN,454.0
ARE,SWE,466.0
ARE,TAP,486.0
ARE,THA,442.0
ARE,TUR,380.0
ARE,UKR,561.0
ARE,URY,434.0
ARE,USA,530.0
ARE,VNM,686.0
ARG,AUS,405.0
ARG,AUT,430.0
ARG,BEL,459.0
ARG,BGR,353.0
ARG,BIH,420.0
ARG,BLR,503.0
ARG,BRA,356.0
ARG,BRN,374.0
ARG,CAN,561.0
ARG,CHE,374.0
ARG,CHL,434.0
ARG,COL,430.0
ARG,CRI,596.0
ARG,CZE,421.0
ARG,DEU,406.0
ARG,DNK,466.0
ARG,DOM,344.0
ARG,ESP,360.0
ARG,EST,442.0
ARG,FIN,493.0
